"requirement_type_id","domain","normalized_name","mapped_source_requirement_count","source_records","current_status"
"AUTH-001","AUTHORITY","Authority assignment","1","FED-EO-14409","ACTIVE_IN_CURRENT_CORPUS"
"AUTH-002","AUTHORITY","Authority limitation","2","FED-EO-14409","ACTIVE_IN_CURRENT_CORPUS"
"AUTH-003","AUTHORITY","Existing authority preservation","1","FED-EO-14409","ACTIVE_IN_CURRENT_CORPUS"
"ACT-001","ACTOR_ACCOUNTABILITY","Responsible actor identification","0","","DEFINED_FOR_EXPANSION"
"ACT-002","ACTOR_ACCOUNTABILITY","Duty allocation","2","FED-EO-14409","ACTIVE_IN_CURRENT_CORPUS"
"EVD-001","EVIDENCE","Evidence creation","0","","DEFINED_FOR_EXPANSION"
"EVD-002","EVIDENCE","Evidence preservation","0","","DEFINED_FOR_EXPANSION"
"EVD-003","EVIDENCE","Evidence lineage","0","","DEFINED_FOR_EXPANSION"
"EVD-004","EVIDENCE","Evidence access","2","FED-EO-14409","ACTIVE_IN_CURRENT_CORPUS"
"EVD-005","EVIDENCE","Evidence protection","2","FED-EO-14409","ACTIVE_IN_CURRENT_CORPUS"
"DOC-001","DOCUMENTATION","Technical documentation","0","","DEFINED_FOR_EXPANSION"
"DOC-002","DOCUMENTATION","Risk documentation","0","","DEFINED_FOR_EXPANSION"
"DOC-003","DOCUMENTATION","Compliance record","0","","DEFINED_FOR_EXPANSION"
"RSK-001","RISK_GOVERNANCE","Risk identification","0","","DEFINED_FOR_EXPANSION"
"RSK-002","RISK_GOVERNANCE","Risk assessment","0","","DEFINED_FOR_EXPANSION"
"RSK-003","RISK_GOVERNANCE","Risk mitigation","0","","DEFINED_FOR_EXPANSION"
"RSK-004","RISK_GOVERNANCE","Risk escalation","0","","DEFINED_FOR_EXPANSION"
"CLS-001","SYSTEM_CLASSIFICATION","Regulated-system classification","2","FED-EO-14409","ACTIVE_IN_CURRENT_CORPUS"
"CLS-002","SYSTEM_CLASSIFICATION","Capability threshold determination","1","FED-EO-14409","ACTIVE_IN_CURRENT_CORPUS"
"TST-001","TESTING_AND_EVALUATION","Capability benchmarking","1","FED-EO-14409","ACTIVE_IN_CURRENT_CORPUS"
"TST-002","TESTING_AND_EVALUATION","Impact assessment","0","","DEFINED_FOR_EXPANSION"
"TST-003","TESTING_AND_EVALUATION","Validation","2","FED-EO-14409","ACTIVE_IN_CURRENT_CORPUS"
"EXE-001","EXECUTION_CONTROL","Execution admission","0","","DEFINED_FOR_EXPANSION"
"EXE-002","EXECUTION_CONTROL","Execution restriction","1","MN-HF-1606","ACTIVE_IN_CURRENT_CORPUS"
"EXE-003","EXECUTION_CONTROL","Suspension or termination","0","","DEFINED_FOR_EXPANSION"
