"assertion_id","assertion_name","expected_state","actual_state","verification_state"
"TRUST-001","ALL_34_REQUIREMENTS_ADJUDICATED","34","34","PASS"
"TRUST-002","ALL_ROWS_SEALED","TRUE","TRUE","PASS"
"TRUST-003","ALL_ROWS_CHALLENGE_REQUIRED","34","34","PASS"
"TRUST-004","TRACE_REPRODUCIBLE","TRUE","TRUE","PASS"
"TRUST-005","LEDGER_REPRODUCIBLE","TRUE","TRUE","PASS"
"TRUST-006","LOW_CONFIDENCE_ADDRESSED","0","0","PASS"
"TRUST-007","UNKNOWN_EVIDENCE_REFERENCES","0","0","PASS"
"TRUST-008","EXPECTED_DISTRIBUTION_DEFINED","FALSE","FALSE","PASS"
"TRUST-009","LEGAL_COMPLIANCE_DETERMINATIONS","0","0","PASS"
"TRUST-010","FINAL_COMPATIBILITY_MATRIX_ABSENT","TRUE","TRUE","PASS"
