"review_id","adjudication_id","requirement_id","source_id","source_name","provisional_verdict","adversarial_recommended_verdict","recommendation","attacks_executed","attacks_survived","attacks_failed","failed_attack_classes","recommendation_rationale","human_reviewer_required","human_reviewer_state","consolidation_required","review_state","legal_compliance_determination","external_legal_authority_preserved","review_method_version"
"ARV-001","IADJ-001","EO14409-REQ-001","FED-EO-14409","Executive Order 14409","PARTIALLY_ADDRESSED","PARTIALLY_ADDRESSED","UPHOLD","8","8","0","","The provisional verdict survived all eight attacks.","TRUE","NOT_YET_COMPLETED","TRUE","ADVERSARIAL_REVIEW_COMPLETE","NOT_ASSESSED","TRUE","05A-R4-V3"
"ARV-002","IADJ-002","EO14409-REQ-002","FED-EO-14409","Executive Order 14409","PARTIALLY_ADDRESSED","PARTIALLY_ADDRESSED","UPHOLD","8","8","0","","The provisional verdict survived all eight attacks.","TRUE","NOT_YET_COMPLETED","TRUE","ADVERSARIAL_REVIEW_COMPLETE","NOT_ASSESSED","TRUE","05A-R4-V3"
"ARV-003","IADJ-003","EO14409-REQ-003","FED-EO-14409","Executive Order 14409","GAP","GAP","UPHOLD","8","8","0","","The provisional verdict survived all eight attacks.","TRUE","NOT_YET_COMPLETED","TRUE","ADVERSARIAL_REVIEW_COMPLETE","NOT_ASSESSED","TRUE","05A-R4-V3"
"ARV-004","IADJ-004","EO14409-REQ-004","FED-EO-14409","Executive Order 14409","GAP","GAP","UPHOLD","8","8","0","","The provisional verdict survived all eight attacks.","TRUE","NOT_YET_COMPLETED","TRUE","ADVERSARIAL_REVIEW_COMPLETE","NOT_ASSESSED","TRUE","05A-R4-V3"
"ARV-005","IADJ-005","EO14409-REQ-005","FED-EO-14409","Executive Order 14409","ADDRESSED","PARTIALLY_ADDRESSED","DOWNGRADE","8","7","1","EVIDENCE_SCOPE","One or more adversarial controls failed; consolidation must resolve or preserve the recommendation.","TRUE","NOT_YET_COMPLETED","TRUE","ADVERSARIAL_REVIEW_COMPLETE","NOT_ASSESSED","TRUE","05A-R4-V3"
"ARV-006","IADJ-006","EO14409-REQ-006","FED-EO-14409","Executive Order 14409","GAP","GAP","UPHOLD","8","8","0","","The provisional verdict survived all eight attacks.","TRUE","NOT_YET_COMPLETED","TRUE","ADVERSARIAL_REVIEW_COMPLETE","NOT_ASSESSED","TRUE","05A-R4-V3"
"ARV-007","IADJ-007","EO14409-REQ-007","FED-EO-14409","Executive Order 14409","GAP","GAP","UPHOLD","8","8","0","","The provisional verdict survived all eight attacks.","TRUE","NOT_YET_COMPLETED","TRUE","ADVERSARIAL_REVIEW_COMPLETE","NOT_ASSESSED","TRUE","05A-R4-V3"
"ARV-008","IADJ-008","EO14409-REQ-008","FED-EO-14409","Executive Order 14409","UNRESOLVED","UNRESOLVED","RECLASSIFY","8","7","1","APPLICABILITY","One or more adversarial controls failed; consolidation must resolve or preserve the recommendation.","TRUE","NOT_YET_COMPLETED","TRUE","ADVERSARIAL_REVIEW_COMPLETE","NOT_ASSESSED","TRUE","05A-R4-V3"
"ARV-009","IADJ-009","EO14409-REQ-009","FED-EO-14409","Executive Order 14409","PARTIALLY_ADDRESSED","PARTIALLY_ADDRESSED","UPHOLD","8","8","0","","The provisional verdict survived all eight attacks.","TRUE","NOT_YET_COMPLETED","TRUE","ADVERSARIAL_REVIEW_COMPLETE","NOT_ASSESSED","TRUE","05A-R4-V3"
"ARV-010","IADJ-010","EO14409-REQ-010","FED-EO-14409","Executive Order 14409","UNRESOLVED","UNRESOLVED","RECLASSIFY","8","7","1","APPLICABILITY","One or more adversarial controls failed; consolidation must resolve or preserve the recommendation.","TRUE","NOT_YET_COMPLETED","TRUE","ADVERSARIAL_REVIEW_COMPLETE","NOT_ASSESSED","TRUE","05A-R4-V3"
"ARV-011","IADJ-011","EO14409-REQ-011","FED-EO-14409","Executive Order 14409","GAP","GAP","UPHOLD","8","8","0","","The provisional verdict survived all eight attacks.","TRUE","NOT_YET_COMPLETED","TRUE","ADVERSARIAL_REVIEW_COMPLETE","NOT_ASSESSED","TRUE","05A-R4-V3"
"ARV-012","IADJ-012","EO14409-REQ-012","FED-EO-14409","Executive Order 14409","GAP","GAP","UPHOLD","8","8","0","","The provisional verdict survived all eight attacks.","TRUE","NOT_YET_COMPLETED","TRUE","ADVERSARIAL_REVIEW_COMPLETE","NOT_ASSESSED","TRUE","05A-R4-V3"
"ARV-013","IADJ-013","EO14409-REQ-013","FED-EO-14409","Executive Order 14409","GAP","GAP","UPHOLD","8","8","0","","The provisional verdict survived all eight attacks.","TRUE","NOT_YET_COMPLETED","TRUE","ADVERSARIAL_REVIEW_COMPLETE","NOT_ASSESSED","TRUE","05A-R4-V3"
"ARV-014","IADJ-014","EO14409-REQ-014","FED-EO-14409","Executive Order 14409","GAP","GAP","UPHOLD","8","8","0","","The provisional verdict survived all eight attacks.","TRUE","NOT_YET_COMPLETED","TRUE","ADVERSARIAL_REVIEW_COMPLETE","NOT_ASSESSED","TRUE","05A-R4-V3"
"ARV-015","IADJ-015","EO14409-REQ-015","FED-EO-14409","Executive Order 14409","UNRESOLVED","UNRESOLVED","RECLASSIFY","8","7","1","APPLICABILITY","One or more adversarial controls failed; consolidation must resolve or preserve the recommendation.","TRUE","NOT_YET_COMPLETED","TRUE","ADVERSARIAL_REVIEW_COMPLETE","NOT_ASSESSED","TRUE","05A-R4-V3"
"ARV-016","IADJ-016","EO14409-REQ-016","FED-EO-14409","Executive Order 14409","UNRESOLVED","UNRESOLVED","RECLASSIFY","8","7","1","APPLICABILITY","One or more adversarial controls failed; consolidation must resolve or preserve the recommendation.","TRUE","NOT_YET_COMPLETED","TRUE","ADVERSARIAL_REVIEW_COMPLETE","NOT_ASSESSED","TRUE","05A-R4-V3"
"ARV-017","IADJ-017","EO14409-REQ-017","FED-EO-14409","Executive Order 14409","UNRESOLVED","UNRESOLVED","RECLASSIFY","8","7","1","APPLICABILITY","One or more adversarial controls failed; consolidation must resolve or preserve the recommendation.","TRUE","NOT_YET_COMPLETED","TRUE","ADVERSARIAL_REVIEW_COMPLETE","NOT_ASSESSED","TRUE","05A-R4-V3"
"ARV-018","IADJ-018","EO14409-REQ-018","FED-EO-14409","Executive Order 14409","PARTIALLY_ADDRESSED","PARTIALLY_ADDRESSED","UPHOLD","8","8","0","","The provisional verdict survived all eight attacks.","TRUE","NOT_YET_COMPLETED","TRUE","ADVERSARIAL_REVIEW_COMPLETE","NOT_ASSESSED","TRUE","05A-R4-V3"
"ARV-019","IADJ-019","EO14409-REQ-019","FED-EO-14409","Executive Order 14409","GAP","GAP","UPHOLD","8","8","0","","The provisional verdict survived all eight attacks.","TRUE","NOT_YET_COMPLETED","TRUE","ADVERSARIAL_REVIEW_COMPLETE","NOT_ASSESSED","TRUE","05A-R4-V3"
