"metric_id","metric_name","metric_value","percentage","interpretation"
"CORPUS-001","TOTAL_REQUIREMENTS","34","100","Total atomic requirements in the bounded two-source corpus."
"CORPUS-002","ADDRESSED","2","5.88","Requirements with directly represented bounded architectural mechanisms."
"CORPUS-003","PARTIALLY_ADDRESSED","8","23.53","Requirements with direct architectural support and material external residual duties."
"CORPUS-004","RELATED","10","29.41","Requirements with relevant mechanisms that do not perform the substantive legal duty."
"CORPUS-005","NOT_APPLICABLE","13","38.24","Legal, governmental, programmatic, reporting, notice, content, or enforcement functions outside public ORYNTH scope."
"CORPUS-006","GAP","1","2.94","Requirement with no sufficiently relevant indexed public ORYNTH mechanism."
"CORPUS-007","UNRESOLVED","0","0","Requirements lacking sufficient evidence for a bounded verdict."
"CORPUS-008","DIRECT_ARCHITECTURAL_SUPPORT","10","29.41","Combined ADDRESSED and PARTIALLY_ADDRESSED requirements."
"CORPUS-009","ARCHITECTURALLY_RELEVANT","20","58.82","Combined ADDRESSED, PARTIALLY_ADDRESSED, and RELATED requirements."
"CORPUS-010","OUTSIDE_OR_ABSENT","14","41.18","Combined NOT_APPLICABLE and GAP requirements."
"CORPUS-011","DISTINCT_PUBLIC_EVIDENCE_USED","24","60","Distinct indexed public evidence records used across the adjudication."
"CORPUS-012","RESIDUAL_DUTIES_RECORDED","32","94.12","Non-ADDRESSED requirements with explicit residual-duty records."
