"requirement_type_id","domain","normalized_name","reference_architecture_evidence_count","audit_specification_evidence_count","total_public_evidence_count","compatibility_state"
"AUTH-001","AUTHORITY","Authority assignment","1","1","2","NOT_YET_ADJUDICATED"
"AUTH-002","AUTHORITY","Authority limitation","2","5","7","NOT_YET_ADJUDICATED"
"AUTH-003","AUTHORITY","Existing authority preservation","1","0","1","NOT_YET_ADJUDICATED"
"ACT-001","ACTOR_ACCOUNTABILITY","Responsible actor identification","2","1","3","NOT_YET_ADJUDICATED"
"ACT-002","ACTOR_ACCOUNTABILITY","Duty allocation","2","0","2","NOT_YET_ADJUDICATED"
"EVD-001","EVIDENCE","Evidence creation","2","3","5","NOT_YET_ADJUDICATED"
"EVD-002","EVIDENCE","Evidence preservation","2","2","4","NOT_YET_ADJUDICATED"
"EVD-003","EVIDENCE","Evidence lineage","6","5","11","NOT_YET_ADJUDICATED"
"EVD-004","EVIDENCE","Evidence access","1","0","1","NOT_YET_ADJUDICATED"
"EVD-005","EVIDENCE","Evidence protection","0","0","0","NOT_YET_ADJUDICATED"
"DOC-001","DOCUMENTATION","Technical documentation","1","2","3","NOT_YET_ADJUDICATED"
"DOC-002","DOCUMENTATION","Risk documentation","0","0","0","NOT_YET_ADJUDICATED"
"DOC-003","DOCUMENTATION","Compliance record","5","5","10","NOT_YET_ADJUDICATED"
"RSK-001","RISK_GOVERNANCE","Risk identification","0","0","0","NOT_YET_ADJUDICATED"
"RSK-002","RISK_GOVERNANCE","Risk assessment","2","0","2","NOT_YET_ADJUDICATED"
"RSK-003","RISK_GOVERNANCE","Risk mitigation","0","0","0","NOT_YET_ADJUDICATED"
"RSK-004","RISK_GOVERNANCE","Risk escalation","0","0","0","NOT_YET_ADJUDICATED"
"CLS-001","SYSTEM_CLASSIFICATION","Regulated-system classification","1","2","3","NOT_YET_ADJUDICATED"
"CLS-002","SYSTEM_CLASSIFICATION","Capability threshold determination","0","0","0","NOT_YET_ADJUDICATED"
"TST-001","TESTING_AND_EVALUATION","Capability benchmarking","0","0","0","NOT_YET_ADJUDICATED"
"TST-002","TESTING_AND_EVALUATION","Impact assessment","0","0","0","NOT_YET_ADJUDICATED"
"TST-003","TESTING_AND_EVALUATION","Validation","5","1","6","NOT_YET_ADJUDICATED"
