"record_id","jurisdiction","jurisdiction_level","instrument_id","instrument_title","instrument_type","legal_status","official_source_url","source_provision","source_requirement","normalized_requirement","supporting_duties","architectural_applicability","applicability_explanation","architectural_duty_types","orynth_evidence_ids","orynth_evidence_mechanisms","public_status","public_status_code","status_meaning","status_explanation","residual_gap","confidence","legal_compliance_determination","external_legal_authority_preserved","methodology_version","release_version","release_state"
"EO14409-REQ-001","","","FED-EO-14409","Executive Order 14409","","","","","Prioritize cyber defense of National Security Systems","Prioritize cyber defense of National Security Systems","actor=Committee on National Security Systems;actor_class=FEDERAL_BODY;private_company_effect=NONE_DIRECT;collaboration_status=NOT_APPLICABLE","ARCHITECTURAL","Deterministic applicability state: ARCHITECTURAL.","ACT-002;SEC-001","RA-EVD-003;RA-EVD-014","DOMAIN_RESPONSIBILITY_BOUNDARY;GOVERNED_STAGE_SEPARATION","Partially Addressed","PARTIALLY_ADDRESSED","Public ORYNTH evidence addresses material parts of the architectural requirement, but additional functionality or evidence remains necessary.","The provisional verdict survived all eight attacks.","Cannot substitute for domain law.;Does not assign statutory actors.","MEDIUM","NOT_ASSESSED","TRUE","05A-R5B-V1","1.0.0","PUBLIC_PROOF_REFERENCE_CANDIDATE"
"EO14409-REQ-002","","","FED-EO-14409","Executive Order 14409","","","","","Prioritize cyber defense of Department of War information systems","Prioritize cyber defense of Department of War information systems","actor=Secretary of War;actor_class=FEDERAL_OFFICIAL;private_company_effect=NONE_DIRECT;collaboration_status=NOT_APPLICABLE","ARCHITECTURAL","Deterministic applicability state: ARCHITECTURAL.","ACT-002;SEC-001","RA-EVD-003;RA-EVD-014","DOMAIN_RESPONSIBILITY_BOUNDARY;GOVERNED_STAGE_SEPARATION","Partially Addressed","PARTIALLY_ADDRESSED","Public ORYNTH evidence addresses material parts of the architectural requirement, but additional functionality or evidence remains necessary.","The provisional verdict survived all eight attacks.","Cannot substitute for domain law.;Does not assign statutory actors.","MEDIUM","NOT_ASSESSED","TRUE","05A-R5B-V1","1.0.0","PUBLIC_PROOF_REFERENCE_CANDIDATE"
"EO14409-REQ-003","","","FED-EO-14409","Executive Order 14409","","","","","Expedite and prioritize cyber defense of civilian Federal Government information systems","Expedite and prioritize cyber defense of civilian Federal Government information systems","actor=Secretary of Homeland Security through CISA;actor_class=FEDERAL_OFFICIAL;private_company_effect=NONE_DIRECT;collaboration_status=NOT_APPLICABLE","ARCHITECTURAL","Deterministic applicability state: ARCHITECTURAL.","GOV-001;SEC-001","","","Gap","GAP","The requirement is architecturally relevant, but no qualifying public ORYNTH evidence currently addresses it.","The provisional verdict survived all eight attacks.","No qualifying public ORYNTH architectural mechanism was identified.","HIGH","NOT_ASSESSED","TRUE","05A-R5B-V1","1.0.0","PUBLIC_PROOF_REFERENCE_CANDIDATE"
"EO14409-REQ-004","","","FED-EO-14409","Executive Order 14409","","","","","Establish or expand Federal programs and cybersecurity services using AI-enabled defensive tools","Establish or expand Federal programs and cybersecurity services using AI-enabled defensive tools","actor=Secretary of Homeland Security through CISA;actor_class=FEDERAL_OFFICIAL;private_company_effect=POTENTIAL_INDIRECT;collaboration_status=NOT_SPECIFIED","ARCHITECTURAL","Deterministic applicability state: ARCHITECTURAL.","GOV-001;SEC-001","","","Gap","GAP","The requirement is architecturally relevant, but no qualifying public ORYNTH evidence currently addresses it.","The provisional verdict survived all eight attacks.","No qualifying public ORYNTH architectural mechanism was identified.","HIGH","NOT_ASSESSED","TRUE","05A-R5B-V1","1.0.0","PUBLIC_PROOF_REFERENCE_CANDIDATE"
"EO14409-REQ-005","","","FED-EO-14409","Executive Order 14409","","","","","Facilitate access to cybersecurity tools, services, and where appropriate covered frontier models","Facilitate access to cybersecurity tools, services, and where appropriate covered frontier models","actor=Secretary of Homeland Security through CISA;actor_class=FEDERAL_OFFICIAL;private_company_effect=POTENTIAL_INDIRECT;collaboration_status=NOT_SPECIFIED","ARCHITECTURAL","Deterministic applicability state: ARCHITECTURAL.","EVD-004;SEC-002","AAS-EVD-004;AAS-EVD-017;RA-EVD-017","AUDIT_NONINTERFERENCE;MULTI_SOURCE_VALIDATION_EVIDENCE;ONE_WAY_INDEPENDENCE_BOUNDARY","Partially Addressed","PARTIALLY_ADDRESSED","Public ORYNTH evidence addresses material parts of the architectural requirement, but additional functionality or evidence remains necessary.","One or more adversarial controls failed; consolidation must resolve or preserve the recommendation.","Architectural independence is not complete institutional independence.;Not a complete procedural ethics standard.;Presence does not automatically establish admissibility.","HIGH","NOT_ASSESSED","TRUE","05A-R5B-V1","1.0.0","PUBLIC_PROOF_REFERENCE_CANDIDATE"
"EO14409-REQ-006","","","FED-EO-14409","Executive Order 14409","","","","","Form an AI cybersecurity clearinghouse","Form an AI cybersecurity clearinghouse","actor=Secretary of the Treasury;actor_class=FEDERAL_OFFICIAL;private_company_effect=VOLUNTARY_COLLABORATION;collaboration_status=VOLUNTARY","ARCHITECTURAL","Deterministic applicability state: ARCHITECTURAL.","GOV-001;VOL-004","","","Gap","GAP","The requirement is architecturally relevant, but no qualifying public ORYNTH evidence currently addresses it.","The provisional verdict survived all eight attacks.","No qualifying public ORYNTH architectural mechanism was identified.","HIGH","NOT_ASSESSED","TRUE","05A-R5B-V1","1.0.0","PUBLIC_PROOF_REFERENCE_CANDIDATE"
"EO14409-REQ-007","","","FED-EO-14409","Executive Order 14409","","","","","Collaborate with the AI cybersecurity clearinghouse","Collaborate with the AI cybersecurity clearinghouse","actor=AI industry and critical-infrastructure operators;actor_class=PRIVATE_ACTOR;private_company_effect=VOLUNTARY;collaboration_status=VOLUNTARY","ARCHITECTURAL","Deterministic applicability state: ARCHITECTURAL.","VOL-004","","","Gap","GAP","The requirement is architecturally relevant, but no qualifying public ORYNTH evidence currently addresses it.","The provisional verdict survived all eight attacks.","No qualifying public ORYNTH architectural mechanism was identified.","HIGH","NOT_ASSESSED","TRUE","05A-R5B-V1","1.0.0","PUBLIC_PROOF_REFERENCE_CANDIDATE"
"EO14409-REQ-008","","","FED-EO-14409","Executive Order 14409","","","","","Coordinate and deconflict software-vulnerability scanning","Coordinate and deconflict software-vulnerability scanning","actor=AI cybersecurity clearinghouse;actor_class=FEDERAL_COORDINATION_BODY;private_company_effect=POTENTIAL_INDIRECT;collaboration_status=VOLUNTARY_PRIVATE_PARTICIPATION","PARTIALLY_ARCHITECTURAL","ORYNTH provides evidence reconciliation, eligibility, reference-state validation, and governed-evolution mechanisms relevant to coordinated vulnerability-scanning evidence. It does not operate the federal clearinghouse, coordinate independent scanning programs, or deconflict operational scanning activity.","SEC-005;TST-003","AAS-EVD-009;RA-EVD-004;RA-EVD-007;RA-EVD-011;RA-EVD-015;RA-EVD-016","CONDITION_RECONCILIATION;EVIDENCE_ADMISSIBILITY_GATE;EXECUTION_ELIGIBILITY_GATE;GOVERNED_EVOLUTION;REFERENCE_STATE_MAINTENANCE;REFERENCE_STATE_VALIDATION","Related","RELATED","Public ORYNTH evidence addresses a closely related architectural concept but does not directly perform the central duty.","ORYNTH provides evidence reconciliation, eligibility, reference-state validation, and governed-evolution mechanisms relevant to coordinated vulnerability-scanning evidence. It does not operate the federal clearinghouse, coordinate independent scanning programs, or deconflict operational scanning activity.","Operational multi-party scanning coordination, clearinghouse authority, deconfliction procedures, and vulnerability-program execution remain external.","LOW","NOT_ASSESSED","TRUE","05A-R5B-V1","1.0.0","PUBLIC_PROOF_REFERENCE_CANDIDATE"
"EO14409-REQ-009","","","FED-EO-14409","Executive Order 14409","","","","","Discover and validate software vulnerabilities","Discover and validate software vulnerabilities","actor=AI cybersecurity clearinghouse;actor_class=FEDERAL_COORDINATION_BODY;private_company_effect=POTENTIAL_INDIRECT;collaboration_status=VOLUNTARY_PRIVATE_PARTICIPATION","ARCHITECTURAL","Deterministic applicability state: ARCHITECTURAL.","SEC-005;TST-003","AAS-EVD-009;RA-EVD-004;RA-EVD-007;RA-EVD-011;RA-EVD-015;RA-EVD-016","CONDITION_RECONCILIATION;EVIDENCE_ADMISSIBILITY_GATE;EXECUTION_ELIGIBILITY_GATE;GOVERNED_EVOLUTION;REFERENCE_STATE_MAINTENANCE;REFERENCE_STATE_VALIDATION","Partially Addressed","PARTIALLY_ADDRESSED","Public ORYNTH evidence addresses material parts of the architectural requirement, but additional functionality or evidence remains necessary.","The provisional verdict survived all eight attacks.","Applies to audit evidence, not operational action.;Does not certify independent deployments.;Does not govern legislative amendment.;Does not itself monitor legislation.;External policy supplies eligibility criteria.;Requires external condition and policy inputs.","MEDIUM","NOT_ASSESSED","TRUE","05A-R5B-V1","1.0.0","PUBLIC_PROOF_REFERENCE_CANDIDATE"
"EO14409-REQ-010","","","FED-EO-14409","Executive Order 14409","","","","","Coordinate and prioritize remediation and distribution of vulnerability patches","Coordinate and prioritize remediation and distribution of vulnerability patches","actor=AI cybersecurity clearinghouse;actor_class=FEDERAL_COORDINATION_BODY;private_company_effect=POTENTIAL_INDIRECT;collaboration_status=VOLUNTARY_PRIVATE_PARTICIPATION","ARCHITECTURAL","Patch prioritization, remediation routing, and patch distribution are architecturally implementable operational functions. No qualifying public ORYNTH evidence currently performs those functions.","INC-003;SEC-005","","","Gap","GAP","The requirement is architecturally relevant, but no qualifying public ORYNTH evidence currently addresses it.","Patch prioritization, remediation routing, and patch distribution are architecturally implementable operational functions. No qualifying public ORYNTH evidence currently performs those functions.","A public remediation-prioritization, patch-routing, distribution, and deployment-verification mechanism is required.","LOW","NOT_ASSESSED","TRUE","05A-R5B-V1","1.0.0","PUBLIC_PROOF_REFERENCE_CANDIDATE"
