"requirement_id","source_record_id","requirement_class","requirement_name","regulated_actor","action_type","requirement_text","mandatory_status","trigger","deadline","effective_date","enforcement_authority","penalty_or_consequence","exceptions","primary_citation","verification_status","notes"
"EO14409-REQ-001","FED-EO-14409","CYBER_DEFENSE","Prioritize cyber defense of National Security Systems","Committee on National Security Systems","MANDATORY","Prioritize cyber defense of National Security Systems","MANDATORY","","2026-07-02","2026-06-02","","","","Section 2(a)","PRIMARY_SOURCE_VERIFIED","Private-company effect: NONE_DIRECT"
"EO14409-REQ-002","FED-EO-14409","CYBER_DEFENSE","Prioritize cyber defense of Department of War information systems","Secretary of War","MANDATORY","Prioritize cyber defense of Department of War information systems","MANDATORY","","2026-07-02","2026-06-02","","","","Section 2(b)","PRIMARY_SOURCE_VERIFIED","Private-company effect: NONE_DIRECT"
"EO14409-REQ-003","FED-EO-14409","FEDERAL_CYBER_DEFENSE","Expedite and prioritize cyber defense of civilian Federal Government information systems","Secretary of Homeland Security through CISA","MANDATORY","Expedite and prioritize cyber defense of civilian Federal Government information systems","MANDATORY","","2026-07-02","2026-06-02","","","","Section 2(c)(i)","PRIMARY_SOURCE_VERIFIED","Private-company effect: NONE_DIRECT"
"EO14409-REQ-004","FED-EO-14409","AI_ENABLED_CYBERSECURITY","Establish or expand Federal programs and cybersecurity services using AI-enabled defensive tools","Secretary of Homeland Security through CISA","MANDATORY","Establish or expand Federal programs and cybersecurity services using AI-enabled defensive tools","MANDATORY","","2026-07-02","2026-06-02","","","","Section 2(c)(ii)","PRIMARY_SOURCE_VERIFIED","Private-company effect: POTENTIAL_INDIRECT"
"EO14409-REQ-005","FED-EO-14409","CAPABILITY_ACCESS","Facilitate access to cybersecurity tools, services, and where appropriate covered frontier models","Secretary of Homeland Security through CISA","MANDATORY","Facilitate access to cybersecurity tools, services, and where appropriate covered frontier models","MANDATORY","","2026-07-02","2026-06-02","","","","Section 2(c)(iii)","PRIMARY_SOURCE_VERIFIED","Private-company effect: POTENTIAL_INDIRECT"
"EO14409-REQ-006","FED-EO-14409","CYBERSECURITY_COORDINATION","Form an AI cybersecurity clearinghouse","Secretary of the Treasury","MANDATORY","Form an AI cybersecurity clearinghouse","MANDATORY","","2026-07-02","2026-06-02","","","","Section 2(d)","PRIMARY_SOURCE_VERIFIED","Private-company effect: VOLUNTARY_COLLABORATION"
"EO14409-REQ-007","FED-EO-14409","INDUSTRY_COLLABORATION","Collaborate with the AI cybersecurity clearinghouse","AI industry and critical-infrastructure operators","VOLUNTARY","Collaborate with the AI cybersecurity clearinghouse","VOLUNTARY","","","2026-06-02","","","","Section 2(d)","PRIMARY_SOURCE_VERIFIED","Private-company effect: VOLUNTARY"
"EO14409-REQ-008","FED-EO-14409","VULNERABILITY_DISCOVERY","Coordinate and deconflict software-vulnerability scanning","AI cybersecurity clearinghouse","MANDATORY_FUNCTION","Coordinate and deconflict software-vulnerability scanning","MANDATORY_FUNCTION","","2026-07-02","2026-06-02","","","","Section 2(d)","PRIMARY_SOURCE_VERIFIED","Private-company effect: POTENTIAL_INDIRECT"
"EO14409-REQ-009","FED-EO-14409","VULNERABILITY_VALIDATION","Discover and validate software vulnerabilities","AI cybersecurity clearinghouse","MANDATORY_FUNCTION","Discover and validate software vulnerabilities","MANDATORY_FUNCTION","","2026-07-02","2026-06-02","","","","Section 2(d)","PRIMARY_SOURCE_VERIFIED","Private-company effect: POTENTIAL_INDIRECT"
"EO14409-REQ-010","FED-EO-14409","REMEDIATION_COORDINATION","Coordinate and prioritize remediation and distribution of vulnerability patches","AI cybersecurity clearinghouse","MANDATORY_FUNCTION","Coordinate and prioritize remediation and distribution of vulnerability patches","MANDATORY_FUNCTION","","2026-07-02","2026-06-02","","","","Section 2(d)","PRIMARY_SOURCE_VERIFIED","Private-company effect: POTENTIAL_INDIRECT"
