"requirement_type_id","domain","normalized_name","definition","polarity"
"AUTH-001","AUTHORITY","Authority assignment","Assign a defined decision, implementation, oversight, or enforcement authority to an identified actor.","POSITIVE_DUTY"
"AUTH-002","AUTHORITY","Authority limitation","Prevent an actor or provision from being interpreted as granting authority beyond a defined boundary.","LIMITATION"
"AUTH-003","AUTHORITY","Existing authority preservation","Preserve authority already granted under other law or institutional mandate.","PRESERVATION"
"ACT-001","ACTOR_ACCOUNTABILITY","Responsible actor identification","Identify the developer, deployer, operator, agency, controller, or person responsible for the governed activity.","STRUCTURAL"
"ACT-002","ACTOR_ACCOUNTABILITY","Duty allocation","Allocate a specific governance duty to an identified actor class.","POSITIVE_DUTY"
"EVD-001","EVIDENCE","Evidence creation","Create evidence demonstrating system condition, action, decision, assessment, or compliance.","POSITIVE_DUTY"
"EVD-002","EVIDENCE","Evidence preservation","Retain evidence for a required duration or governed purpose.","POSITIVE_DUTY"
"EVD-003","EVIDENCE","Evidence lineage","Maintain traceable relationships among evidence, source events, actors, versions, and decisions.","POSITIVE_DUTY"
"EVD-004","EVIDENCE","Evidence access","Provide authorized parties access to evidence, models, records, or evaluation materials.","POSITIVE_OR_CONDITIONAL_DUTY"
"EVD-005","EVIDENCE","Evidence protection","Protect evidence or supplied materials against unauthorized access, alteration, disclosure, or misuse.","SAFEGUARD"
"DOC-001","DOCUMENTATION","Technical documentation","Create or maintain technical information describing system design, capability, limits, or operation.","POSITIVE_DUTY"
"DOC-002","DOCUMENTATION","Risk documentation","Document identified risks, evaluations, mitigation measures, and unresolved conditions.","POSITIVE_DUTY"
"DOC-003","DOCUMENTATION","Compliance record","Maintain records demonstrating actions taken to satisfy a governance requirement.","POSITIVE_DUTY"
"RSK-001","RISK_GOVERNANCE","Risk identification","Identify foreseeable, material, systemic, discriminatory, security, or capability-related risks.","POSITIVE_DUTY"
"RSK-002","RISK_GOVERNANCE","Risk assessment","Evaluate likelihood, severity, exposure, affected parties, and operating context.","POSITIVE_DUTY"
"RSK-003","RISK_GOVERNANCE","Risk mitigation","Implement measures intended to prevent, reduce, contain, or remediate identified risks.","POSITIVE_DUTY"
"RSK-004","RISK_GOVERNANCE","Risk escalation","Route unresolved or elevated risks to an actor with appropriate authority.","POSITIVE_DUTY"
"CLS-001","SYSTEM_CLASSIFICATION","Regulated-system classification","Determine whether a model, system, service, use, or capability falls within a governed category.","CLASSIFICATION"
"CLS-002","SYSTEM_CLASSIFICATION","Capability threshold determination","Establish or apply a capability threshold that activates additional governance.","CLASSIFICATION"
"TST-001","TESTING_AND_EVALUATION","Capability benchmarking","Measure system capability against defined benchmarks or evaluation processes.","POSITIVE_DUTY"
"TST-002","TESTING_AND_EVALUATION","Impact assessment","Assess likely or actual effects on individuals, groups, systems, or institutions.","POSITIVE_DUTY"
"TST-003","TESTING_AND_EVALUATION","Validation","Verify that a claim, vulnerability, safeguard, model behavior, or system state is accurate.","POSITIVE_DUTY"
"EXE-001","EXECUTION_CONTROL","Execution admission","Determine whether execution is permitted to begin under defined conditions.","CONTROL"
"EXE-002","EXECUTION_CONTROL","Execution restriction","Constrain system access, use, output, distribution, or operational behavior.","CONTROL"
"EXE-003","EXECUTION_CONTROL","Suspension or termination","Suspend, disable, withdraw, terminate, or prevent continued execution.","CONTROL"
"PRO-001","PROHIBITED_CONDUCT","Prohibited system use","Forbid a defined use of an AI system or automated capability.","PROHIBITION"
"PRO-002","PROHIBITED_CONDUCT","Prohibited capability access","Forbid providing access to a defined AI capability or service.","PROHIBITION"
"PRO-003","PROHIBITED_CONDUCT","Prohibited promotion","Forbid advertising, marketing, promotion, or facilitation of a prohibited capability.","PROHIBITION"
"TRN-001","TRANSPARENCY","User notice","Notify a user, employee, consumer, or affected person that AI is being used.","POSITIVE_DUTY"
"TRN-002","TRANSPARENCY","Regulatory disclosure","Provide required information to a government body, regulator, auditor, or authorized reviewer.","POSITIVE_DUTY"
"TRN-003","TRANSPARENCY","Content provenance disclosure","Indicate that content is AI-generated or preserve detectable provenance information.","POSITIVE_DUTY"
"HUM-001","HUMAN_RIGHTS_AND_REMEDY","Anti-discrimination protection","Prevent or remedy discriminatory treatment or effects from AI use.","PROTECTION"
"HUM-002","HUMAN_RIGHTS_AND_REMEDY","Identity and likeness protection","Protect voice, image, likeness, identity, or intimate representation against unauthorized synthetic use.","PROTECTION"
"HUM-003","HUMAN_RIGHTS_AND_REMEDY","Human review or appeal","Provide a process for review, challenge, correction, or appeal by an affected person.","REMEDY"
