"event_id","date","event_type","chamber","description","source"
"MN-HF1606-EVT-001","2025-02-25","PUBLIC_TEXT_POSTED","House","Original bill text posted","Official Minnesota Revisor bill record"
"MN-HF1606-EVT-002","2025-02-26","INTRODUCED","House","Introduction and first reading; referred to Commerce Finance and Policy","Official Minnesota Revisor bill record"
"MN-HF1606-EVT-003","2026-03-16","FIRST_ENGROSSMENT","House","First engrossment posted","Official Minnesota Revisor bill record"
"MN-HF1606-EVT-004","2026-04-07","SECOND_ENGROSSMENT","House","Second engrossment posted and second reading completed","Official Minnesota Revisor bill record"
"MN-HF1606-EVT-005","2026-04-23","HOUSE_PASSAGE","House","Passed House by vote of 132–1","Official Minnesota Revisor bill record"
"MN-HF1606-EVT-006","2026-04-27","SENATE_RECEIPT","Senate","Received from House, introduced, and referred for comparison to SF 1119","Official Minnesota Revisor bill record"
"MN-HF1606-EVT-007","2026-04-29","SENATE_PASSAGE","Senate","Passed Senate by vote of 65–0","Official Minnesota Revisor bill record"
"MN-HF1606-EVT-008","2026-05-04","RETURNED_TO_HOUSE","House","Returned from Senate","Official Minnesota Revisor bill record"
"MN-HF1606-EVT-009","2026-05-06","PRESENTED_TO_GOVERNOR","Executive","Presented to governor","Official Minnesota Revisor bill record"
"MN-HF1606-EVT-010","2026-05-07","GOVERNOR_APPROVAL","Executive","Governor approved the bill","Official Minnesota Revisor bill record"
"MN-HF1606-EVT-011","2026-05-07","FILED","Secretary of State","Filed and designated Chapter 72","Official Minnesota Revisor bill record"
"MN-HF1606-EVT-012","2026-08-01","EFFECTIVE_DATE","Not applicable","Minnesota Statutes section 325E.91 becomes effective","Official Minnesota Revisor bill record"
