"freeze_item_id","repository_path","file_name","size_bytes","sha256","release_version","release_state","integrity_status"
"FRZ-001","data\crosswalk\COMPATIBILITY_MATRIX.csv","COMPATIBILITY_MATRIX.csv","34830","37FD3EA3AE2B8C4EC3625721F145161E212C44C7B7ABFFA248F14B6CA8241C60","1.0.0","PUBLIC_RELEASE_FROZEN","VERIFIED"
"FRZ-002","data\crosswalk\ORYNTH_AUDIT_SPECIFICATION_INDEX.csv","ORYNTH_AUDIT_SPECIFICATION_INDEX.csv","5139","81E681EA813EEED485F6815F1038BE9D57D3BF968577D8ED86BB037253DA6A4D","1.0.0","PUBLIC_RELEASE_FROZEN","VERIFIED"
"FRZ-003","data\crosswalk\ORYNTH_EVIDENCE_TO_TAXONOMY_MAP.csv","ORYNTH_EVIDENCE_TO_TAXONOMY_MAP.csv","12989","8FDF46489CEA25F0B44011FA33BB0584201B431505008A933B5C235F1D1B4F67","1.0.0","PUBLIC_RELEASE_FROZEN","VERIFIED"
"FRZ-004","data\crosswalk\ORYNTH_EVIDENCE_USE_LEDGER.csv","ORYNTH_EVIDENCE_USE_LEDGER.csv","23398","BF975E5A1C96B0EF0F8D19C5D61B4A8C788461FBCF0BE144908AE23812280B36","1.0.0","PUBLIC_RELEASE_FROZEN","VERIFIED"
"FRZ-005","data\crosswalk\ORYNTH_REFERENCE_ARCHITECTURE_INDEX.csv","ORYNTH_REFERENCE_ARCHITECTURE_INDEX.csv","5292","06AFA1B0E755E10692C23DA594E4014F7AA82A062380B0B3B48481979923DD52","1.0.0","PUBLIC_RELEASE_FROZEN","VERIFIED"
"FRZ-006","data\crosswalk\RESIDUAL_REQUIREMENT_REGISTRY.csv","RESIDUAL_REQUIREMENT_REGISTRY.csv","11673","0E62D268E58824A924761CFF2AA744FFD735B34294B8C3A66C6D1C16A71F8B7B","1.0.0","PUBLIC_RELEASE_FROZEN","VERIFIED"
"FRZ-007","data\requirements\EO_14409_REQUIREMENTS.csv","EO_14409_REQUIREMENTS.csv","7093","28C84BD1AF6BF31C9A22891618A102A039A422504F4E2538C75E3A3786003112","1.0.0","PUBLIC_RELEASE_FROZEN","VERIFIED"
"FRZ-008","data\requirements\MN_HF_1606_REQUIREMENTS.csv","MN_HF_1606_REQUIREMENTS.csv","3695","4C9C81C29D766129C507B5735B1B80B5D20FF50CF8DF89AAFCD9CDFF06989E51","1.0.0","PUBLIC_RELEASE_FROZEN","VERIFIED"
"FRZ-009","data\requirements\NORMALIZED_REQUIREMENT_TAXONOMY.csv","NORMALIZED_REQUIREMENT_TAXONOMY.csv","9620","43EF4EB69338A178C695154ABD7E5575F192386990C7FF31A713478AEACA05F5","1.0.0","PUBLIC_RELEASE_FROZEN","VERIFIED"
"FRZ-010","data\requirements\SOURCE_TO_NORMALIZED_REQUIREMENT_MAP.csv","SOURCE_TO_NORMALIZED_REQUIREMENT_MAP.csv","7932","422E67C6AA826085B055A513684546CC1F566303E80901286FCF733A7A4428B3","1.0.0","PUBLIC_RELEASE_FROZEN","VERIFIED"
"FRZ-011","data\statistics\COMPATIBILITY_CORPUS_SUMMARY.csv","COMPATIBILITY_CORPUS_SUMMARY.csv","1512","E56874ED33049EE1E46854C35C3CCEB6C4631A3E4AAA2DA25B0F0600364E186C","1.0.0","PUBLIC_RELEASE_FROZEN","VERIFIED"
"FRZ-012","data\statistics\DOMAIN_COMPATIBILITY_DISTRIBUTION.csv","DOMAIN_COMPATIBILITY_DISTRIBUTION.csv","1188","9996F9AF236D673328AEFFAD558199A4FB5C8FAB45FAFF3170FFB193C88EEB22","1.0.0","PUBLIC_RELEASE_FROZEN","VERIFIED"
"FRZ-013","data\statistics\EVIDENCE_UTILIZATION_STATISTICS.csv","EVIDENCE_UTILIZATION_STATISTICS.csv","4967","C6ECA19BA72056D15F25AFE9589261CD919289D0D71CC64D071ABA1502451416","1.0.0","PUBLIC_RELEASE_FROZEN","VERIFIED"
"FRZ-014","data\statistics\RESIDUAL_DUTY_STATISTICS.csv","RESIDUAL_DUTY_STATISTICS.csv","988","DBE2D2900318CF6319F2F7520487F533FB62DA592016F220B4E8D6716A6A617D","1.0.0","PUBLIC_RELEASE_FROZEN","VERIFIED"
