"schema_test_id","schema_name","field_name","expected_state","actual_state","verification_state"
"SCH-001","DECISION_TRACE","adjudication_id","DEFINED_ONCE","DEFINED_ONCE","PASS"
"SCH-002","DECISION_TRACE","requirement_id","DEFINED_ONCE","DEFINED_ONCE","PASS"
"SCH-003","DECISION_TRACE","source_id","DEFINED_ONCE","DEFINED_ONCE","PASS"
"SCH-004","DECISION_TRACE","source_name","DEFINED_ONCE","DEFINED_ONCE","PASS"
"SCH-005","DECISION_TRACE","source_text","DEFINED_ONCE","DEFINED_ONCE","PASS"
"SCH-006","DECISION_TRACE","central_duty","DEFINED_ONCE","DEFINED_ONCE","PASS"
"SCH-007","DECISION_TRACE","supporting_duties","DEFINED_ONCE","DEFINED_ONCE","PASS"
"SCH-008","DECISION_TRACE","architectural_applicability","DEFINED_ONCE","DEFINED_ONCE","PASS"
"SCH-009","DECISION_TRACE","applicability_rationale","DEFINED_ONCE","DEFINED_ONCE","PASS"
"SCH-010","DECISION_TRACE","normalized_type_ids","DEFINED_ONCE","DEFINED_ONCE","PASS"
"SCH-011","DECISION_TRACE","evidence_ids","DEFINED_ONCE","DEFINED_ONCE","PASS"
"SCH-012","DECISION_TRACE","evidence_mechanisms","DEFINED_ONCE","DEFINED_ONCE","PASS"
"SCH-013","DECISION_TRACE","evidence_scope_limits","DEFINED_ONCE","DEFINED_ONCE","PASS"
"SCH-014","DECISION_TRACE","functional_performance","DEFINED_ONCE","DEFINED_ONCE","PASS"
"SCH-015","DECISION_TRACE","functional_performance_rationale","DEFINED_ONCE","DEFINED_ONCE","PASS"
"SCH-016","DECISION_TRACE","material_residuals","DEFINED_ONCE","DEFINED_ONCE","PASS"
"SCH-017","DECISION_TRACE","proposed_verdict","DEFINED_ONCE","DEFINED_ONCE","PASS"
"SCH-018","DECISION_TRACE","final_verdict","DEFINED_ONCE","DEFINED_ONCE","PASS"
"SCH-019","DECISION_TRACE","confidence","DEFINED_ONCE","DEFINED_ONCE","PASS"
"SCH-020","DECISION_TRACE","neighbor_verdict_counterfactual","DEFINED_ONCE","DEFINED_ONCE","PASS"
"SCH-021","DECISION_TRACE","human_review_status","DEFINED_ONCE","DEFINED_ONCE","PASS"
"SCH-022","DECISION_TRACE","challenge_status","DEFINED_ONCE","DEFINED_ONCE","PASS"
"SCH-023","DECISION_TRACE","challenge_rationale","DEFINED_ONCE","DEFINED_ONCE","PASS"
"SCH-024","DECISION_TRACE","legal_compliance_determination","DEFINED_ONCE","DEFINED_ONCE","PASS"
"SCH-025","DECISION_TRACE","external_legal_authority_preserved","DEFINED_ONCE","DEFINED_ONCE","PASS"
"SCH-026","DECISION_TRACE","no_quota_assertion","DEFINED_ONCE","DEFINED_ONCE","PASS"
"SCH-027","DECISION_TRACE","row_sealed","DEFINED_ONCE","DEFINED_ONCE","PASS"
"SCH-028","DECISION_TRACE","method_version","DEFINED_ONCE","DEFINED_ONCE","PASS"
"SCH-029","CHALLENGE_REGISTER","challenge_id","DEFINED_ONCE","DEFINED_ONCE","PASS"
"SCH-030","CHALLENGE_REGISTER","requirement_id","DEFINED_ONCE","DEFINED_ONCE","PASS"
"SCH-031","CHALLENGE_REGISTER","challenged_verdict","DEFINED_ONCE","DEFINED_ONCE","PASS"
"SCH-032","CHALLENGE_REGISTER","challenge_basis","DEFINED_ONCE","DEFINED_ONCE","PASS"
"SCH-033","CHALLENGE_REGISTER","challenger_position","DEFINED_ONCE","DEFINED_ONCE","PASS"
"SCH-034","CHALLENGE_REGISTER","supporting_evidence_ids","DEFINED_ONCE","DEFINED_ONCE","PASS"
"SCH-035","CHALLENGE_REGISTER","resolution_status","DEFINED_ONCE","DEFINED_ONCE","PASS"
"SCH-036","CHALLENGE_REGISTER","resolution_rationale","DEFINED_ONCE","DEFINED_ONCE","PASS"
"SCH-037","CHALLENGE_REGISTER","reviewer","DEFINED_ONCE","DEFINED_ONCE","PASS"
"SCH-038","CHALLENGE_REGISTER","review_state","DEFINED_ONCE","DEFINED_ONCE","PASS"
