"rule_id","rule_order","rule_name","required","decision_output","prohibition"
"RULE-001","1","CENTRAL_DUTY_IDENTIFICATION","TRUE","central_duty","DO_NOT_USE_SUPPORTING_DUTY_AS_CENTRAL_DUTY"
"RULE-002","2","ARCHITECTURAL_APPLICABILITY","TRUE","architectural_applicability","DO_NOT_TREAT_SOVEREIGN_FUNCTION_AS_ARCHITECTURAL"
"RULE-003","3","REVIEWED_TAXONOMY_MAPPING","TRUE","normalized_type_ids","TAXONOMY_OVERLAP_IS_NOT_COMPATIBILITY"
"RULE-004","4","PUBLIC_EVIDENCE_DERIVATION","TRUE","evidence_ids","NO_FABRICATED_EVIDENCE_IDS"
"RULE-005","5","FUNCTIONAL_PERFORMANCE_TEST","TRUE","functional_performance","SIMILARITY_IS_NOT_PERFORMANCE"
"RULE-006","6","MATERIAL_RESIDUAL_TEST","TRUE","material_residuals","DO_NOT_HIDE_EXTERNAL_DUTIES"
"RULE-007","7","NEIGHBOR_VERDICT_COUNTERFACTUAL","TRUE","counterfactual","NO_UNEXPLAINED_VERDICT"
"RULE-008","8","CONFIDENCE_AND_CHALLENGE_STATUS","TRUE","confidence_and_challenge","LOW_CONFIDENCE_CANNOT_BE_ADDRESSED"
"RULE-009","9","ROW_SEALING","TRUE","sealed_verdict","NO_AGGREGATE_COUNTS_BEFORE_ROW_SEAL"
"RULE-010","10","POST_HOC_DISTRIBUTION","TRUE","aggregate_distribution","NO_QUOTA_OR_TARGET_DISTRIBUTION"
