"challenge_id","requirement_id","challenged_verdict","challenge_basis","challenger_position","supporting_evidence_ids","resolution_status","resolution_rationale","reviewer","review_state"
"CHL-001","EO14409-REQ-001","PARTIALLY_ADDRESSED","Mandatory complete row-level adversarial review.","NOT_YET_RECORDED","RA-EVD-003;RA-EVD-014","OPEN","","UNASSIGNED","PENDING_PASS_05A_R4"
"CHL-002","EO14409-REQ-002","PARTIALLY_ADDRESSED","Mandatory complete row-level adversarial review.","NOT_YET_RECORDED","RA-EVD-003;RA-EVD-014","OPEN","","UNASSIGNED","PENDING_PASS_05A_R4"
"CHL-003","EO14409-REQ-003","GAP","Mandatory complete row-level adversarial review.","NOT_YET_RECORDED","","OPEN","","UNASSIGNED","PENDING_PASS_05A_R4"
"CHL-004","EO14409-REQ-004","GAP","Mandatory complete row-level adversarial review.","NOT_YET_RECORDED","","OPEN","","UNASSIGNED","PENDING_PASS_05A_R4"
"CHL-005","EO14409-REQ-005","ADDRESSED","Mandatory complete row-level adversarial review.","NOT_YET_RECORDED","AAS-EVD-004;AAS-EVD-017;RA-EVD-017","OPEN","","UNASSIGNED","PENDING_PASS_05A_R4"
"CHL-006","EO14409-REQ-006","GAP","Mandatory complete row-level adversarial review.","NOT_YET_RECORDED","","OPEN","","UNASSIGNED","PENDING_PASS_05A_R4"
"CHL-007","EO14409-REQ-007","GAP","Mandatory complete row-level adversarial review.","NOT_YET_RECORDED","","OPEN","","UNASSIGNED","PENDING_PASS_05A_R4"
"CHL-008","EO14409-REQ-008","UNRESOLVED","Mandatory complete row-level adversarial review.","NOT_YET_RECORDED","AAS-EVD-009;RA-EVD-004;RA-EVD-007;RA-EVD-011;RA-EVD-015;RA-EVD-016","OPEN","","UNASSIGNED","PENDING_PASS_05A_R4"
"CHL-009","EO14409-REQ-009","PARTIALLY_ADDRESSED","Mandatory complete row-level adversarial review.","NOT_YET_RECORDED","AAS-EVD-009;RA-EVD-004;RA-EVD-007;RA-EVD-011;RA-EVD-015;RA-EVD-016","OPEN","","UNASSIGNED","PENDING_PASS_05A_R4"
"CHL-010","EO14409-REQ-010","UNRESOLVED","Mandatory complete row-level adversarial review.","NOT_YET_RECORDED","","OPEN","","UNASSIGNED","PENDING_PASS_05A_R4"
"CHL-011","EO14409-REQ-011","GAP","Mandatory complete row-level adversarial review.","NOT_YET_RECORDED","","OPEN","","UNASSIGNED","PENDING_PASS_05A_R4"
"CHL-012","EO14409-REQ-012","GAP","Mandatory complete row-level adversarial review.","NOT_YET_RECORDED","","OPEN","","UNASSIGNED","PENDING_PASS_05A_R4"
"CHL-013","EO14409-REQ-013","GAP","Mandatory complete row-level adversarial review.","NOT_YET_RECORDED","","OPEN","","UNASSIGNED","PENDING_PASS_05A_R4"
"CHL-014","EO14409-REQ-014","GAP","Mandatory complete row-level adversarial review.","NOT_YET_RECORDED","","OPEN","","UNASSIGNED","PENDING_PASS_05A_R4"
"CHL-015","EO14409-REQ-015","UNRESOLVED","Mandatory complete row-level adversarial review.","NOT_YET_RECORDED","AAS-EVD-008;AAS-EVD-012;AAS-EVD-019;RA-EVD-001;RA-EVD-003","OPEN","","UNASSIGNED","PENDING_PASS_05A_R4"
"CHL-016","EO14409-REQ-016","UNRESOLVED","Mandatory complete row-level adversarial review.","NOT_YET_RECORDED","","OPEN","","UNASSIGNED","PENDING_PASS_05A_R4"
"CHL-017","EO14409-REQ-017","UNRESOLVED","Mandatory complete row-level adversarial review.","NOT_YET_RECORDED","AAS-EVD-008;AAS-EVD-012;RA-EVD-001","OPEN","","UNASSIGNED","PENDING_PASS_05A_R4"
"CHL-018","EO14409-REQ-018","PARTIALLY_ADDRESSED","Mandatory complete row-level adversarial review.","NOT_YET_RECORDED","AAS-EVD-004;AAS-EVD-017;RA-EVD-017","OPEN","","UNASSIGNED","PENDING_PASS_05A_R4"
"CHL-019","EO14409-REQ-019","GAP","Mandatory complete row-level adversarial review.","NOT_YET_RECORDED","","OPEN","","UNASSIGNED","PENDING_PASS_05A_R4"
"CHL-020","EO14409-REQ-020","RELATED","Mandatory complete row-level adversarial review.","NOT_YET_RECORDED","AAS-EVD-004;AAS-EVD-017","OPEN","","UNASSIGNED","PENDING_PASS_05A_R4"
"CHL-021","EO14409-REQ-021","ADDRESSED","Mandatory complete row-level adversarial review.","NOT_YET_RECORDED","AAS-EVD-005;AAS-EVD-013;AAS-EVD-016;AAS-EVD-017;AAS-EVD-018;AAS-EVD-019;RA-EVD-009;RA-EVD-010;RA-EVD-014;RA-EVD-019;RA-EVD-020","OPEN","","UNASSIGNED","PENDING_PASS_05A_R4"
"CHL-022","EO14409-REQ-022","GAP","Mandatory complete row-level adversarial review.","NOT_YET_RECORDED","","OPEN","","UNASSIGNED","PENDING_PASS_05A_R4"
"CHL-023","EO14409-REQ-023","ADDRESSED","Mandatory complete row-level adversarial review.","NOT_YET_RECORDED","RA-EVD-010","OPEN","","UNASSIGNED","PENDING_PASS_05A_R4"
