"evidence_use_id","adjudication_id","requirement_id","source_id","provisional_verdict","evidence_id","artifact_id","overlapping_type_id","evidence_name","mechanism","evidence_strength","scope_limit","derivation_state","functional_use_state","legal_compliance_claim"
"PEUL-0001","IADJ-001","EO14409-REQ-001","FED-EO-14409","PARTIALLY_ADDRESSED","RA-EVD-003","ORYNTH-RA-001","ACT-002","Governed stage separation","GOVERNED_STAGE_SEPARATION","DIRECT_ARCHITECTURAL","Does not assign statutory actors.","NORMALIZED_TAXONOMY_OVERLAP","PARTIAL","NONE"
"PEUL-0002","IADJ-001","EO14409-REQ-001","FED-EO-14409","PARTIALLY_ADDRESSED","RA-EVD-014","ORYNTH-RA-001","ACT-002","Domain responsibility boundary","DOMAIN_RESPONSIBILITY_BOUNDARY","DIRECT_BOUNDARY","Cannot substitute for domain law.","NORMALIZED_TAXONOMY_OVERLAP","PARTIAL","NONE"
"PEUL-0003","IADJ-002","EO14409-REQ-002","FED-EO-14409","PARTIALLY_ADDRESSED","RA-EVD-003","ORYNTH-RA-001","ACT-002","Governed stage separation","GOVERNED_STAGE_SEPARATION","DIRECT_ARCHITECTURAL","Does not assign statutory actors.","NORMALIZED_TAXONOMY_OVERLAP","PARTIAL","NONE"
"PEUL-0004","IADJ-002","EO14409-REQ-002","FED-EO-14409","PARTIALLY_ADDRESSED","RA-EVD-014","ORYNTH-RA-001","ACT-002","Domain responsibility boundary","DOMAIN_RESPONSIBILITY_BOUNDARY","DIRECT_BOUNDARY","Cannot substitute for domain law.","NORMALIZED_TAXONOMY_OVERLAP","PARTIAL","NONE"
"PEUL-0005","IADJ-005","EO14409-REQ-005","FED-EO-14409","ADDRESSED","RA-EVD-017","ORYNTH-RA-001","EVD-004","Multiple validation sources","MULTI_SOURCE_VALIDATION_EVIDENCE","DIRECT_EVIDENTIARY","Presence does not automatically establish admissibility.","NORMALIZED_TAXONOMY_OVERLAP","DIRECT","NONE"
"PEUL-0006","IADJ-005","EO14409-REQ-005","FED-EO-14409","ADDRESSED","AAS-EVD-004","ORYNTH-AAS-001","SEC-002","Audit noninterference","AUDIT_NONINTERFERENCE","DIRECT_AUDIT","Architectural independence is not complete institutional independence.","NORMALIZED_TAXONOMY_OVERLAP","DIRECT","NONE"
"PEUL-0007","IADJ-005","EO14409-REQ-005","FED-EO-14409","ADDRESSED","AAS-EVD-017","ORYNTH-AAS-001","SEC-002","One-way independence boundary","ONE_WAY_INDEPENDENCE_BOUNDARY","DIRECT_AUDIT","Not a complete procedural ethics standard.","NORMALIZED_TAXONOMY_OVERLAP","DIRECT","NONE"
"PEUL-0008","IADJ-008","EO14409-REQ-008","FED-EO-14409","UNRESOLVED","AAS-EVD-009","ORYNTH-AAS-001","TST-003","Evidence admissibility gate","EVIDENCE_ADMISSIBILITY_GATE","DIRECT_EVIDENTIARY","Applies to audit evidence, not operational action.","NORMALIZED_TAXONOMY_OVERLAP","ADJACENT","NONE"
"PEUL-0009","IADJ-008","EO14409-REQ-008","FED-EO-14409","UNRESOLVED","RA-EVD-004","ORYNTH-RA-001","TST-003","Execution eligibility determination","EXECUTION_ELIGIBILITY_GATE","DIRECT_ARCHITECTURAL","External policy supplies eligibility criteria.","NORMALIZED_TAXONOMY_OVERLAP","ADJACENT","NONE"
"PEUL-0010","IADJ-008","EO14409-REQ-008","FED-EO-14409","UNRESOLVED","RA-EVD-007","ORYNTH-RA-001","TST-003","Condition reconciliation","CONDITION_RECONCILIATION","DIRECT_ARCHITECTURAL","Requires external condition and policy inputs.","NORMALIZED_TAXONOMY_OVERLAP","ADJACENT","NONE"
