"residual_id","adjudication_id","requirement_id","source_id","provisional_verdict","residual_state","central_duty","external_legal_authority_preserved","legal_compliance_claim","review_state"
"PRES-001","IADJ-001","EO14409-REQ-001","FED-EO-14409","PARTIALLY_ADDRESSED","MATERIAL_ARCHITECTURAL_OR_IMPLEMENTATION_COMPONENT_REMAINS","Prioritize cyber defense of National Security Systems","TRUE","NONE","PENDING_ADVERSARIAL_REVIEW"
"PRES-002","IADJ-002","EO14409-REQ-002","FED-EO-14409","PARTIALLY_ADDRESSED","MATERIAL_ARCHITECTURAL_OR_IMPLEMENTATION_COMPONENT_REMAINS","Prioritize cyber defense of Department of War information systems","TRUE","NONE","PENDING_ADVERSARIAL_REVIEW"
"PRES-003","IADJ-003","EO14409-REQ-003","FED-EO-14409","GAP","MATERIAL_ARCHITECTURAL_MECHANISM_ABSENT","Expedite and prioritize cyber defense of civilian Federal Government information systems","TRUE","NONE","PENDING_ADVERSARIAL_REVIEW"
"PRES-004","IADJ-004","EO14409-REQ-004","FED-EO-14409","GAP","MATERIAL_ARCHITECTURAL_MECHANISM_ABSENT","Establish or expand Federal programs and cybersecurity services using AI-enabled defensive tools","TRUE","NONE","PENDING_ADVERSARIAL_REVIEW"
"PRES-005","IADJ-006","EO14409-REQ-006","FED-EO-14409","GAP","MATERIAL_ARCHITECTURAL_MECHANISM_ABSENT","Form an AI cybersecurity clearinghouse","TRUE","NONE","PENDING_ADVERSARIAL_REVIEW"
"PRES-006","IADJ-007","EO14409-REQ-007","FED-EO-14409","GAP","MATERIAL_ARCHITECTURAL_MECHANISM_ABSENT","Collaborate with the AI cybersecurity clearinghouse","TRUE","NONE","PENDING_ADVERSARIAL_REVIEW"
"PRES-007","IADJ-008","EO14409-REQ-008","FED-EO-14409","UNRESOLVED","APPLICABILITY_REQUIRES_REVIEW","Coordinate and deconflict software-vulnerability scanning","TRUE","NONE","PENDING_ADVERSARIAL_REVIEW"
"PRES-008","IADJ-009","EO14409-REQ-009","FED-EO-14409","PARTIALLY_ADDRESSED","MATERIAL_ARCHITECTURAL_OR_IMPLEMENTATION_COMPONENT_REMAINS","Discover and validate software vulnerabilities","TRUE","NONE","PENDING_ADVERSARIAL_REVIEW"
"PRES-009","IADJ-010","EO14409-REQ-010","FED-EO-14409","UNRESOLVED","APPLICABILITY_REQUIRES_REVIEW","Coordinate and prioritize remediation and distribution of vulnerability patches","TRUE","NONE","PENDING_ADVERSARIAL_REVIEW"
"PRES-010","IADJ-011","EO14409-REQ-011","FED-EO-14409","GAP","MATERIAL_ARCHITECTURAL_MECHANISM_ABSENT","Determine whether relevant Federal grant funding is available for advanced AI vulnerability detection","TRUE","NONE","PENDING_ADVERSARIAL_REVIEW"
"PRES-011","IADJ-012","EO14409-REQ-012","FED-EO-14409","GAP","MATERIAL_ARCHITECTURAL_MECHANISM_ABSENT","Expand United States Tech Force Information Cybersecurity Specialist hiring and placement pathways","TRUE","NONE","PENDING_ADVERSARIAL_REVIEW"
"PRES-012","IADJ-013","EO14409-REQ-013","FED-EO-14409","GAP","MATERIAL_ARCHITECTURAL_MECHANISM_ABSENT","Develop and maintain a classified process for benchmarking advanced cyber capabilities of AI models","TRUE","NONE","PENDING_ADVERSARIAL_REVIEW"
"PRES-013","IADJ-014","EO14409-REQ-014","FED-EO-14409","GAP","MATERIAL_ARCHITECTURAL_MECHANISM_ABSENT","Determine the threshold for designating an AI model as a covered frontier model","TRUE","NONE","PENDING_ADVERSARIAL_REVIEW"
"PRES-014","IADJ-015","EO14409-REQ-015","FED-EO-14409","UNRESOLVED","APPLICABILITY_REQUIRES_REVIEW","Make covered-frontier-model determinations in consultation with designated officials","TRUE","NONE","PENDING_ADVERSARIAL_REVIEW"
"PRES-015","IADJ-016","EO14409-REQ-016","FED-EO-14409","UNRESOLVED","APPLICABILITY_REQUIRES_REVIEW","Design a voluntary framework with AI developers","TRUE","NONE","PENDING_ADVERSARIAL_REVIEW"
"PRES-016","IADJ-017","EO14409-REQ-017","FED-EO-14409","UNRESOLVED","APPLICABILITY_REQUIRES_REVIEW","Engage the Federal Government to determine whether models under development meet the covered-frontier-model designation","TRUE","NONE","PENDING_ADVERSARIAL_REVIEW"
"PRES-017","IADJ-018","EO14409-REQ-018","FED-EO-14409","PARTIALLY_ADDRESSED","MATERIAL_ARCHITECTURAL_OR_IMPLEMENTATION_COMPONENT_REMAINS","Provide the Federal Government access to covered frontier models for up to 30 days before release to other trusted partners","TRUE","NONE","PENDING_ADVERSARIAL_REVIEW"
"PRES-018","IADJ-019","EO14409-REQ-019","FED-EO-14409","GAP","MATERIAL_ARCHITECTURAL_MECHANISM_ABSENT","Apply appropriate confidentiality, cybersecurity, insider-risk, intellectual-property, use, and nondisclosure protections","TRUE","NONE","PENDING_ADVERSARIAL_REVIEW"
"PRES-019","IADJ-020","EO14409-REQ-020","FED-EO-14409","RELATED","CENTRAL_DUTY_NOT_FUNCTIONALLY_PERFORMED","Collaborate to select trusted partners for early access to covered frontier models","TRUE","NONE","PENDING_ADVERSARIAL_REVIEW"
"PRES-020","IADJ-022","EO14409-REQ-022","FED-EO-14409","GAP","MATERIAL_ARCHITECTURAL_MECHANISM_ABSENT","Prioritize enforcement of applicable Federal criminal laws against criminal AI-enabled computer access or damage","TRUE","NONE","PENDING_ADVERSARIAL_REVIEW"
"PRES-021","IADJ-024","EO14409-REQ-024","FED-EO-14409","NOT_APPLICABLE","SOVEREIGN_OR_LEGAL_FUNCTION_EXTERNAL","Implement the order consistently with applicable law and available appropriations","TRUE","NONE","PENDING_ADVERSARIAL_REVIEW"
"PRES-022","IADJ-025","EO14409-REQ-025","FED-EO-14409","UNRESOLVED","APPLICABILITY_REQUIRES_REVIEW","Recognize that the order creates no privately enforceable substantive or procedural right or benefit","TRUE","NONE","PENDING_ADVERSARIAL_REVIEW"
"PRES-023","IADJ-026","MN-HF1606-REQ-001","MN-HF-1606","PARTIALLY_ADDRESSED","MATERIAL_ARCHITECTURAL_OR_IMPLEMENTATION_COMPONENT_REMAINS","Must not allow a user to access, download, or use the service to nudify an image or video.","TRUE","NONE","PENDING_ADVERSARIAL_REVIEW"
"PRES-024","IADJ-027","MN-HF1606-REQ-002","MN-HF-1606","UNRESOLVED","APPLICABILITY_REQUIRES_REVIEW","Must not nudify an image or video on behalf of a user.","TRUE","NONE","PENDING_ADVERSARIAL_REVIEW"
"PRES-025","IADJ-028","MN-HF1606-REQ-003","MN-HF-1606","UNRESOLVED","APPLICABILITY_REQUIRES_REVIEW","Must not advertise or promote a service that performs prohibited nudification actions.","TRUE","NONE","PENDING_ADVERSARIAL_REVIEW"
"PRES-026","IADJ-029","MN-HF1606-REQ-004","MN-HF-1606","UNRESOLVED","APPLICABILITY_REQUIRES_REVIEW","Subdivision 2 prohibitions do not apply when the service requires the technical skill of a user to nudify media.","TRUE","NONE","PENDING_ADVERSARIAL_REVIEW"
