"record_id","instrument_id","public_status_code","architectural_applicability","orynth_evidence_ids","residual_gap","methodology_version"
"EO14409-REQ-001","FED-EO-14409","PARTIALLY_ADDRESSED","ARCHITECTURAL","RA-EVD-003;RA-EVD-014","Cannot substitute for domain law.;Does not assign statutory actors.","05A-R5B-V1"
"EO14409-REQ-002","FED-EO-14409","PARTIALLY_ADDRESSED","ARCHITECTURAL","RA-EVD-003;RA-EVD-014","Cannot substitute for domain law.;Does not assign statutory actors.","05A-R5B-V1"
"EO14409-REQ-003","FED-EO-14409","GAP","ARCHITECTURAL","","No qualifying public ORYNTH architectural mechanism was identified.","05A-R5B-V1"
"EO14409-REQ-004","FED-EO-14409","GAP","ARCHITECTURAL","","No qualifying public ORYNTH architectural mechanism was identified.","05A-R5B-V1"
"EO14409-REQ-005","FED-EO-14409","PARTIALLY_ADDRESSED","ARCHITECTURAL","AAS-EVD-004;AAS-EVD-017;RA-EVD-017","Architectural independence is not complete institutional independence.;Not a complete procedural ethics standard.;Presence does not automatically establish admissibility.","05A-R5B-V1"
"EO14409-REQ-006","FED-EO-14409","GAP","ARCHITECTURAL","","No qualifying public ORYNTH architectural mechanism was identified.","05A-R5B-V1"
"EO14409-REQ-007","FED-EO-14409","GAP","ARCHITECTURAL","","No qualifying public ORYNTH architectural mechanism was identified.","05A-R5B-V1"
"EO14409-REQ-008","FED-EO-14409","RELATED","PARTIALLY_ARCHITECTURAL","AAS-EVD-009;RA-EVD-004;RA-EVD-007;RA-EVD-011;RA-EVD-015;RA-EVD-016","Operational multi-party scanning coordination, clearinghouse authority, deconfliction procedures, and vulnerability-program execution remain external.","05A-R5B-V1"
"EO14409-REQ-009","FED-EO-14409","PARTIALLY_ADDRESSED","ARCHITECTURAL","AAS-EVD-009;RA-EVD-004;RA-EVD-007;RA-EVD-011;RA-EVD-015;RA-EVD-016","Applies to audit evidence, not operational action.;Does not certify independent deployments.;Does not govern legislative amendment.;Does not itself monitor legislation.;External policy supplies eligibility criteria.;Requires external condition and policy inputs.","05A-R5B-V1"
"EO14409-REQ-010","FED-EO-14409","GAP","ARCHITECTURAL","","A public remediation-prioritization, patch-routing, distribution, and deployment-verification mechanism is required.","05A-R5B-V1"
"EO14409-REQ-011","FED-EO-14409","GAP","ARCHITECTURAL","","No qualifying public ORYNTH architectural mechanism was identified.","05A-R5B-V1"
"EO14409-REQ-012","FED-EO-14409","GAP","ARCHITECTURAL","","No qualifying public ORYNTH architectural mechanism was identified.","05A-R5B-V1"
"EO14409-REQ-013","FED-EO-14409","GAP","ARCHITECTURAL","","No qualifying public ORYNTH architectural mechanism was identified.","05A-R5B-V1"
"EO14409-REQ-014","FED-EO-14409","GAP","ARCHITECTURAL","","No qualifying public ORYNTH architectural mechanism was identified.","05A-R5B-V1"
"EO14409-REQ-015","FED-EO-14409","PARTIALLY_ADDRESSED","PARTIALLY_ARCHITECTURAL","AAS-EVD-008;AAS-EVD-012;AAS-EVD-019;RA-EVD-001;RA-EVD-003","Domain-specific designation criteria, statutory authority, designated-official consultation, and government adoption remain required.","05A-R5B-V1"
"EO14409-REQ-016","FED-EO-14409","NOT_APPLICABLE","NON_ARCHITECTURAL","","Framework authorship, stakeholder consultation, governmental adoption, and voluntary participation remain responsibilities of external actors.","05A-R5B-V1"
"EO14409-REQ-017","FED-EO-14409","RELATED","PARTIALLY_ARCHITECTURAL","AAS-EVD-008;AAS-EVD-012;RA-EVD-001","Government engagement, submission procedures, statutory criteria, official consultation, and designation authority remain external.","05A-R5B-V1"
"EO14409-REQ-018","FED-EO-14409","PARTIALLY_ADDRESSED","ARCHITECTURAL","AAS-EVD-004;AAS-EVD-017;RA-EVD-017","Architectural independence is not complete institutional independence.;Not a complete procedural ethics standard.;Presence does not automatically establish admissibility.","05A-R5B-V1"
"EO14409-REQ-019","FED-EO-14409","GAP","ARCHITECTURAL","","No qualifying public ORYNTH architectural mechanism was identified.","05A-R5B-V1"
"EO14409-REQ-020","FED-EO-14409","RELATED","ARCHITECTURAL","AAS-EVD-004;AAS-EVD-017","Architectural independence is not complete institutional independence.;Not a complete procedural ethics standard.","05A-R5B-V1"
"EO14409-REQ-021","FED-EO-14409","PARTIALLY_ADDRESSED","ARCHITECTURAL","AAS-EVD-005;AAS-EVD-013;AAS-EVD-016;AAS-EVD-017;AAS-EVD-018;AAS-EVD-019;RA-EVD-009;RA-EVD-010;RA-EVD-014;RA-EVD-019;RA-EVD-020","Adopting organization retains operational responsibility.;Cannot substitute for domain law.;Does not guarantee future conformance.;Does not replace policy, authority, or infrastructure.;Does not supply legal authority.;Independent deployments require separate validation.;Limits audit claims rather than runtime.;Not a complete procedural ethics standard.;Prohibits legal-certification interpretation.;Tool use alone does not prove valid audit.;Unscoped properties remain unevaluated.","05A-R5B-V1"
"EO14409-REQ-022","FED-EO-14409","GAP","ARCHITECTURAL","","No qualifying public ORYNTH architectural mechanism was identified.","05A-R5B-V1"
"EO14409-REQ-023","FED-EO-14409","PARTIALLY_ADDRESSED","ARCHITECTURAL","RA-EVD-010","Does not supply legal authority.","05A-R5B-V1"
"EO14409-REQ-024","FED-EO-14409","NOT_APPLICABLE","NON_ARCHITECTURAL","AAS-EVD-005;AAS-EVD-013;AAS-EVD-016;AAS-EVD-017;AAS-EVD-018;AAS-EVD-019;RA-EVD-009;RA-EVD-010;RA-EVD-014;RA-EVD-019;RA-EVD-020","Adopting organization retains operational responsibility.;Cannot substitute for domain law.;Does not guarantee future conformance.;Does not replace policy, authority, or infrastructure.;Does not supply legal authority.;Independent deployments require separate validation.;Limits audit claims rather than runtime.;Not a complete procedural ethics standard.;Prohibits legal-certification interpretation.;Tool use alone does not prove valid audit.;Unscoped properties remain unevaluated.","05A-R5B-V1"
"EO14409-REQ-025","FED-EO-14409","NOT_APPLICABLE","NON_ARCHITECTURAL","","Interpretation and enforcement of private rights remain within external legal authority.","05A-R5B-V1"
"MN-HF1606-REQ-001","MN-HF-1606","PARTIALLY_ADDRESSED","ARCHITECTURAL","RA-EVD-003;RA-EVD-008","Does not assign statutory actors.;Does not define every domain prohibition.","05A-R5B-V1"
"MN-HF1606-REQ-002","MN-HF-1606","GAP","ARCHITECTURAL","","Domain-specific content classification, prohibited-function detection, execution denial, exception handling, and implementation evidence are required.","05A-R5B-V1"
"MN-HF1606-REQ-003","MN-HF-1606","NOT_APPLICABLE","NON_ARCHITECTURAL","","Advertising review, marketing controls, platform moderation, and legal enforcement remain external organizational responsibilities.","05A-R5B-V1"
"MN-HF1606-REQ-004","MN-HF-1606","RELATED","PARTIALLY_ARCHITECTURAL","AAS-EVD-005;AAS-EVD-013;AAS-EVD-016;AAS-EVD-018;RA-EVD-009;RA-EVD-010;RA-EVD-014;RA-EVD-019;RA-EVD-020","The statutory meaning of technical skill, factual evidence of user activity, legal exception criteria, and authoritative exemption determination remain external.","05A-R5B-V1"
"MN-HF1606-REQ-005","MN-HF-1606","NOT_APPLICABLE","NON_ARCHITECTURAL","","Standing, filing, adjudication, damages, injunctions, and judicial enforcement remain within external legal institutions.","05A-R5B-V1"
"MN-HF1606-REQ-006","MN-HF-1606","NOT_APPLICABLE","NON_ARCHITECTURAL","","Damage calculation, evidentiary findings, judicial discretion, and enforcement remain within external legal authority.","05A-R5B-V1"
"MN-HF1606-REQ-007","MN-HF-1606","NOT_APPLICABLE","NON_ARCHITECTURAL","","The obligation remains with the legally responsible external actor or institution.","05A-R5B-V1"
"MN-HF1606-REQ-008","MN-HF-1606","GAP","ARCHITECTURAL","","No qualifying public ORYNTH architectural mechanism was identified.","05A-R5B-V1"
"MN-HF1606-REQ-009","MN-HF-1606","NOT_APPLICABLE","NON_ARCHITECTURAL","","The obligation remains with the legally responsible external actor or institution.","05A-R5B-V1"
