"evidence_id","mechanism","artifact_title","artifact_version","artifact_doi","artifact_section","public_url","requirement_ids","requirement_count","citation_state","release_version"
"AAS-EVD-004","AUDIT_NONINTERFERENCE","","","","","","EO14409-REQ-005;EO14409-REQ-018;EO14409-REQ-020","3","PUBLIC_CITATION_ENRICHMENT_REQUIRED","1.0.0"
"AAS-EVD-005","ASSURANCE_LAYER_BOUNDARY","","","","","","EO14409-REQ-021;EO14409-REQ-024;MN-HF1606-REQ-004","3","PUBLIC_CITATION_ENRICHMENT_REQUIRED","1.0.0"
"AAS-EVD-008","AUTHORIZATION_EXECUTION_SEPARATION","","","","","","EO14409-REQ-015;EO14409-REQ-017","2","PUBLIC_CITATION_ENRICHMENT_REQUIRED","1.0.0"
"AAS-EVD-009","CONDITION_RECONCILIATION","","","","","","EO14409-REQ-008;EO14409-REQ-009","2","PUBLIC_CITATION_ENRICHMENT_REQUIRED","1.0.0"
"AAS-EVD-012","EVIDENCE_CLASSIFICATION","","","","","","EO14409-REQ-015;EO14409-REQ-017","2","PUBLIC_CITATION_ENRICHMENT_REQUIRED","1.0.0"
"AAS-EVD-013","AUDIT_SCOPE_EXCLUSIONS","","","","","","EO14409-REQ-021;EO14409-REQ-024;MN-HF1606-REQ-004","3","PUBLIC_CITATION_ENRICHMENT_REQUIRED","1.0.0"
"AAS-EVD-016","DOMAIN_RESPONSIBILITY_BOUNDARY","","","","","","EO14409-REQ-021;EO14409-REQ-024;MN-HF1606-REQ-004","3","PUBLIC_CITATION_ENRICHMENT_REQUIRED","1.0.0"
"AAS-EVD-017","MULTI_SOURCE_VALIDATION_EVIDENCE","","","","","","EO14409-REQ-005;EO14409-REQ-018;EO14409-REQ-020;EO14409-REQ-021;EO14409-REQ-024","5","PUBLIC_CITATION_ENRICHMENT_REQUIRED","1.0.0"
"AAS-EVD-018","INFERENCE_BOUNDARY","","","","","","EO14409-REQ-021;EO14409-REQ-024;MN-HF1606-REQ-004","3","PUBLIC_CITATION_ENRICHMENT_REQUIRED","1.0.0"
"AAS-EVD-019","GOVERNED_STAGE_SEPARATION","","","","","","EO14409-REQ-015;EO14409-REQ-021;EO14409-REQ-024","3","PUBLIC_CITATION_ENRICHMENT_REQUIRED","1.0.0"
"RA-EVD-001","SPECIFICATION_PRIMACY","","","","","","EO14409-REQ-015;EO14409-REQ-017","2","PUBLIC_CITATION_ENRICHMENT_REQUIRED","1.0.0"
"RA-EVD-003","DOMAIN_RESPONSIBILITY_BOUNDARY","","","","","","EO14409-REQ-001;EO14409-REQ-002;EO14409-REQ-015;MN-HF1606-REQ-001","4","PUBLIC_CITATION_ENRICHMENT_REQUIRED","1.0.0"
"RA-EVD-004","EVIDENCE_ADMISSIBILITY_GATE","","","","","","EO14409-REQ-008;EO14409-REQ-009","2","PUBLIC_CITATION_ENRICHMENT_REQUIRED","1.0.0"
"RA-EVD-007","EXECUTION_ELIGIBILITY_GATE","","","","","","EO14409-REQ-008;EO14409-REQ-009","2","PUBLIC_CITATION_ENRICHMENT_REQUIRED","1.0.0"
"RA-EVD-008","GOVERNED_STAGE_SEPARATION","","","","","","MN-HF1606-REQ-001","1","PUBLIC_CITATION_ENRICHMENT_REQUIRED","1.0.0"
"RA-EVD-009","ONE_WAY_INDEPENDENCE_BOUNDARY","","","","","","EO14409-REQ-021;EO14409-REQ-024;MN-HF1606-REQ-004","3","PUBLIC_CITATION_ENRICHMENT_REQUIRED","1.0.0"
"RA-EVD-010","ORGANIZATIONAL_AUTHORITY_BOUNDARY","","","","","","EO14409-REQ-021;EO14409-REQ-023;EO14409-REQ-024;MN-HF1606-REQ-004","4","PUBLIC_CITATION_ENRICHMENT_REQUIRED","1.0.0"
"RA-EVD-011","GOVERNED_EVOLUTION","","","","","","EO14409-REQ-008;EO14409-REQ-009","2","PUBLIC_CITATION_ENRICHMENT_REQUIRED","1.0.0"
"RA-EVD-014","GOVERNED_STAGE_SEPARATION","","","","","","EO14409-REQ-001;EO14409-REQ-002;EO14409-REQ-021;EO14409-REQ-024;MN-HF1606-REQ-004","5","PUBLIC_CITATION_ENRICHMENT_REQUIRED","1.0.0"
"RA-EVD-015","REFERENCE_STATE_MAINTENANCE","","","","","","EO14409-REQ-008;EO14409-REQ-009","2","PUBLIC_CITATION_ENRICHMENT_REQUIRED","1.0.0"
"RA-EVD-016","REFERENCE_STATE_VALIDATION","","","","","","EO14409-REQ-008;EO14409-REQ-009","2","PUBLIC_CITATION_ENRICHMENT_REQUIRED","1.0.0"
"RA-EVD-017","ONE_WAY_INDEPENDENCE_BOUNDARY","","","","","","EO14409-REQ-005;EO14409-REQ-018","2","PUBLIC_CITATION_ENRICHMENT_REQUIRED","1.0.0"
"RA-EVD-019","SPECIFICATION_PRIMACY","","","","","","EO14409-REQ-021;EO14409-REQ-024;MN-HF1606-REQ-004","3","PUBLIC_CITATION_ENRICHMENT_REQUIRED","1.0.0"
"RA-EVD-020","TEMPORAL_CONFORMANCE_BOUNDARY","","","","","","EO14409-REQ-021;EO14409-REQ-024;MN-HF1606-REQ-004","3","PUBLIC_CITATION_ENRICHMENT_REQUIRED","1.0.0"
