"requirement_id","section","actor","actor_class","action","obligation_status","private_company_effect","collaboration_status","deadline","requirement_class","source_anchor"
"EO14409-REQ-001","2(a)","Committee on National Security Systems","FEDERAL_BODY","Prioritize cyber defense of National Security Systems","MANDATORY","NONE_DIRECT","NOT_APPLICABLE","2026-07-02","CYBER_DEFENSE","Section 2(a)"
"EO14409-REQ-002","2(b)","Secretary of War","FEDERAL_OFFICIAL","Prioritize cyber defense of Department of War information systems","MANDATORY","NONE_DIRECT","NOT_APPLICABLE","2026-07-02","CYBER_DEFENSE","Section 2(b)"
"EO14409-REQ-003","2(c)(i)","Secretary of Homeland Security through CISA","FEDERAL_OFFICIAL","Expedite and prioritize cyber defense of civilian Federal Government information systems","MANDATORY","NONE_DIRECT","NOT_APPLICABLE","2026-07-02","FEDERAL_CYBER_DEFENSE","Section 2(c)(i)"
"EO14409-REQ-004","2(c)(ii)","Secretary of Homeland Security through CISA","FEDERAL_OFFICIAL","Establish or expand Federal programs and cybersecurity services using AI-enabled defensive tools","MANDATORY","POTENTIAL_INDIRECT","NOT_SPECIFIED","2026-07-02","AI_ENABLED_CYBERSECURITY","Section 2(c)(ii)"
"EO14409-REQ-005","2(c)(iii)","Secretary of Homeland Security through CISA","FEDERAL_OFFICIAL","Facilitate access to cybersecurity tools, services, and where appropriate covered frontier models","MANDATORY","POTENTIAL_INDIRECT","NOT_SPECIFIED","2026-07-02","CAPABILITY_ACCESS","Section 2(c)(iii)"
"EO14409-REQ-006","2(d)","Secretary of the Treasury","FEDERAL_OFFICIAL","Form an AI cybersecurity clearinghouse","MANDATORY","VOLUNTARY_COLLABORATION","VOLUNTARY","2026-07-02","CYBERSECURITY_COORDINATION","Section 2(d)"
"EO14409-REQ-007","2(d)","AI industry and critical-infrastructure operators","PRIVATE_ACTOR","Collaborate with the AI cybersecurity clearinghouse","VOLUNTARY","VOLUNTARY","VOLUNTARY","","INDUSTRY_COLLABORATION","Section 2(d)"
"EO14409-REQ-008","2(d)","AI cybersecurity clearinghouse","FEDERAL_COORDINATION_BODY","Coordinate and deconflict software-vulnerability scanning","MANDATORY_FUNCTION","POTENTIAL_INDIRECT","VOLUNTARY_PRIVATE_PARTICIPATION","2026-07-02","VULNERABILITY_DISCOVERY","Section 2(d)"
"EO14409-REQ-009","2(d)","AI cybersecurity clearinghouse","FEDERAL_COORDINATION_BODY","Discover and validate software vulnerabilities","MANDATORY_FUNCTION","POTENTIAL_INDIRECT","VOLUNTARY_PRIVATE_PARTICIPATION","2026-07-02","VULNERABILITY_VALIDATION","Section 2(d)"
"EO14409-REQ-010","2(d)","AI cybersecurity clearinghouse","FEDERAL_COORDINATION_BODY","Coordinate and prioritize remediation and distribution of vulnerability patches","MANDATORY_FUNCTION","POTENTIAL_INDIRECT","VOLUNTARY_PRIVATE_PARTICIPATION","2026-07-02","REMEDIATION_COORDINATION","Section 2(d)"
"EO14409-REQ-011","2(e)","Director of OMB","FEDERAL_OFFICIAL","Determine whether relevant Federal grant funding is available for advanced AI vulnerability detection","MANDATORY","POTENTIAL_FUNDING_OPPORTUNITY","NOT_APPLICABLE","2026-07-02","FEDERAL_FUNDING_REVIEW","Section 2(e)"
"EO14409-REQ-012","2(f)","Director of OPM","FEDERAL_OFFICIAL","Expand United States Tech Force Information Cybersecurity Specialist hiring and placement pathways","MANDATORY","NONE_DIRECT","NOT_APPLICABLE","2026-08-01","CYBERSECURITY_WORKFORCE","Section 2(f)"
"EO14409-REQ-013","3(a)","Designated Federal officials","FEDERAL_MULTI_AGENCY","Develop and maintain a classified process for benchmarking advanced cyber capabilities of AI models","MANDATORY","POTENTIAL_EVALUATION_EFFECT","INFORMATION_SHARING_AS_APPROPRIATE","2026-08-01","MODEL_BENCHMARKING","Section 3(a)"
"EO14409-REQ-014","3(a)","Designated Federal officials","FEDERAL_MULTI_AGENCY","Determine the threshold for designating an AI model as a covered frontier model","MANDATORY","POTENTIAL_CLASSIFICATION_EFFECT","INFORMATION_SHARING_AS_APPROPRIATE","2026-08-01","MODEL_CLASSIFICATION","Section 3(a)"
"EO14409-REQ-015","3(a)","Director of NSA","FEDERAL_OFFICIAL","Make covered-frontier-model determinations in consultation with designated officials","MANDATORY_AUTHORITY","POTENTIAL_CLASSIFICATION_EFFECT","NOT_APPLICABLE","","DESIGNATION_AUTHORITY","Section 3(a)"
"EO14409-REQ-016","3(b)","Designated Federal officials","FEDERAL_MULTI_AGENCY","Design a voluntary framework with AI developers","MANDATORY_FEDERAL_DESIGN","VOLUNTARY_PARTICIPATION","VOLUNTARY","2026-08-01","VOLUNTARY_FRAMEWORK","Section 3(b)"
"EO14409-REQ-017","3(b)(i)","AI developers","PRIVATE_ACTOR","Engage the Federal Government to determine whether models under development meet the covered-frontier-model designation","VOLUNTARY","VOLUNTARY","VOLUNTARY","","MODEL_DESIGNATION_CONSULTATION","Section 3(b)(i)"
"EO14409-REQ-018","3(b)(ii)","Participating AI developers","PRIVATE_ACTOR","Provide the Federal Government access to covered frontier models for up to 30 days before release to other trusted partners","VOLUNTARY","VOLUNTARY","VOLUNTARY","UP_TO_30_DAYS_BEFORE_TRUSTED_PARTNER_RELEASE","PRE_RELEASE_MODEL_ACCESS","Section 3(b)(ii)"
"EO14409-REQ-019","3(b)(ii)","Federal Government","FEDERAL_MULTI_AGENCY","Apply appropriate confidentiality, cybersecurity, insider-risk, intellectual-property, use, and nondisclosure protections","CONDITIONAL_SAFEGUARD","PROTECTION_FOR_PARTICIPANTS","TRIGGERED_BY_VOLUNTARY_PARTICIPATION","","MODEL_ACCESS_SAFEGUARDS","Section 3(b)(ii)"
"EO14409-REQ-020","3(b)(iii)","Participating AI developers and Federal Government","PUBLIC_PRIVATE_COLLABORATION","Collaborate to select trusted partners for early access to covered frontier models","VOLUNTARY","VOLUNTARY","VOLUNTARY","","TRUSTED_PARTNER_SELECTION","Section 3(b)(iii)"
"EO14409-REQ-021","3(c)","Federal Government","FEDERAL_AUTHORITY_BOUNDARY","Do not construe section 3 as authorizing mandatory model licensing, preclearance, or permitting","AUTHORITY_LIMITATION","PROTECTIVE_LIMITATION","NOT_APPLICABLE","","NO_MANDATORY_MODEL_LICENSING","Section 3(c)"
"EO14409-REQ-022","4","Attorney General","FEDERAL_OFFICIAL","Prioritize enforcement of applicable Federal criminal laws against criminal AI-enabled computer access or damage","MANDATORY_ENFORCEMENT_PRIORITY","CRIMINAL_LAW_EXPOSURE_FOR_UNLAWFUL_ACTORS","NOT_APPLICABLE","STANDING","CRIMINAL_ENFORCEMENT","Section 4"
"EO14409-REQ-023","5(a)","Executive branch","FEDERAL_AUTHORITY_BOUNDARY","Preserve existing agency authority and OMB functions","AUTHORITY_PRESERVATION","NONE_DIRECT","NOT_APPLICABLE","","GENERAL_AUTHORITY_LIMITATION","Section 5(a)"
"EO14409-REQ-024","5(b)","Executive branch","FEDERAL_IMPLEMENTATION_BOUNDARY","Implement the order consistently with applicable law and available appropriations","IMPLEMENTATION_CONDITION","NONE_DIRECT","NOT_APPLICABLE","STANDING","LEGAL_AND_APPROPRIATIONS_BOUNDARY","Section 5(b)"
"EO14409-REQ-025","5(c)","All parties","LEGAL_EFFECT_BOUNDARY","Recognize that the order creates no privately enforceable substantive or procedural right or benefit","NO_PRIVATE_RIGHT_CREATED","NO_PRIVATE_ENFORCEMENT_RIGHT","NOT_APPLICABLE","","NO_PRIVATE_RIGHT_OF_ACTION","Section 5(c)"
