"actor_id","actor","actor_class","mandatory_duties"
"EO14409-ACT-001","Committee on National Security Systems","FEDERAL_BODY","YES"
"EO14409-ACT-002","Secretary of War","FEDERAL_OFFICIAL","YES"
"EO14409-ACT-003","Secretary of Homeland Security","FEDERAL_OFFICIAL","YES"
"EO14409-ACT-004","Director of CISA","FEDERAL_OFFICIAL","YES"
"EO14409-ACT-005","Secretary of the Treasury","FEDERAL_OFFICIAL","YES"
"EO14409-ACT-006","Director of NSA","FEDERAL_OFFICIAL","YES"
"EO14409-ACT-007","Director of OMB","FEDERAL_OFFICIAL","YES"
"EO14409-ACT-008","Director of OPM","FEDERAL_OFFICIAL","YES"
"EO14409-ACT-009","Attorney General","FEDERAL_OFFICIAL","YES"
"EO14409-ACT-010","AI developers","PRIVATE_ACTOR","NO_VOLUNTARY_FRAMEWORK_ONLY"
"EO14409-ACT-011","Critical-infrastructure operators","PRIVATE_OR_PUBLIC_OPERATOR","NO_VOLUNTARY_COLLABORATION"
"EO14409-ACT-012","State and local authorities","SUBFEDERAL_GOVERNMENT","NO_DIRECT_DUTY"
