"mapping_id","source_requirement_id","source_record_id","normalized_requirement_type_id","mapping_strength","rationale","human_review_status"
"MAP-001","EO14409-REQ-001","FED-EO-14409","SEC-001","DIRECT","Prioritizes cyber defense of National Security Systems.","REVIEWED"
"MAP-002","EO14409-REQ-001","FED-EO-14409","ACT-002","DIRECT","Allocates the duty to the Committee on National Security Systems.","REVIEWED"
"MAP-003","EO14409-REQ-002","FED-EO-14409","SEC-001","DIRECT","Prioritizes cyber defense of Department systems.","REVIEWED"
"MAP-004","EO14409-REQ-002","FED-EO-14409","ACT-002","DIRECT","Allocates the duty to the responsible Secretary.","REVIEWED"
"MAP-005","EO14409-REQ-003","FED-EO-14409","SEC-001","DIRECT","Requires civilian Federal system cyber defense.","REVIEWED"
"MAP-006","EO14409-REQ-003","FED-EO-14409","GOV-001","RELATED","Requires coordinated Federal implementation.","REVIEWED"
"MAP-007","EO14409-REQ-004","FED-EO-14409","GOV-001","DIRECT","Creates or expands AI-enabled Federal cybersecurity programs.","REVIEWED"
"MAP-008","EO14409-REQ-004","FED-EO-14409","SEC-001","DIRECT","Programs exist to strengthen cybersecurity defense.","REVIEWED"
"MAP-009","EO14409-REQ-005","FED-EO-14409","EVD-004","RELATED","Facilitates access to tools, services, and covered models.","REVIEWED"
"MAP-010","EO14409-REQ-005","FED-EO-14409","SEC-002","DIRECT","Access must be controlled to appropriate actors and uses.","REVIEWED"
"MAP-011","EO14409-REQ-006","FED-EO-14409","GOV-001","DIRECT","Requires formation of a Federal clearinghouse.","REVIEWED"
"MAP-012","EO14409-REQ-006","FED-EO-14409","VOL-004","DIRECT","The clearinghouse depends on voluntary public-private collaboration.","REVIEWED"
"MAP-013","EO14409-REQ-007","FED-EO-14409","VOL-004","DIRECT","Private collaboration is voluntary.","REVIEWED"
"MAP-014","EO14409-REQ-008","FED-EO-14409","SEC-005","DIRECT","Coordinates vulnerability scanning.","REVIEWED"
"MAP-015","EO14409-REQ-008","FED-EO-14409","TST-003","RELATED","Scanning supports validation of vulnerabilities.","REVIEWED"
