"evidence_taxonomy_map_id","evidence_id","artifact_id","normalized_requirement_type_id","evidence_strength","mapping_status","compatibility_verdict"
"ETM-001","RA-EVD-001","ORYNTH-RA-001","EXE-001","DIRECT_ARCHITECTURAL","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-002","RA-EVD-001","ORYNTH-RA-001","CLS-001","DIRECT_ARCHITECTURAL","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-003","RA-EVD-002","ORYNTH-RA-001","EXE-001","DIRECT_ARCHITECTURAL","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-004","RA-EVD-002","ORYNTH-RA-001","RSK-002","DIRECT_ARCHITECTURAL","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-005","RA-EVD-003","ORYNTH-RA-001","ACT-002","DIRECT_ARCHITECTURAL","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-006","RA-EVD-003","ORYNTH-RA-001","AUTH-001","DIRECT_ARCHITECTURAL","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-007","RA-EVD-003","ORYNTH-RA-001","EXE-001","DIRECT_ARCHITECTURAL","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-008","RA-EVD-003","ORYNTH-RA-001","EXE-002","DIRECT_ARCHITECTURAL","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-009","RA-EVD-004","ORYNTH-RA-001","EXE-001","DIRECT_ARCHITECTURAL","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-010","RA-EVD-004","ORYNTH-RA-001","TST-003","DIRECT_ARCHITECTURAL","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-011","RA-EVD-005","ORYNTH-RA-001","ACT-001","STRUCTURAL","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-012","RA-EVD-005","ORYNTH-RA-001","DOC-001","STRUCTURAL","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-013","RA-EVD-005","ORYNTH-RA-001","AUD-003","STRUCTURAL","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-014","RA-EVD-006","ORYNTH-RA-001","EVD-001","DIRECT_EVIDENTIARY","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-015","RA-EVD-006","ORYNTH-RA-001","DOC-003","DIRECT_EVIDENTIARY","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-016","RA-EVD-007","ORYNTH-RA-001","RSK-002","DIRECT_ARCHITECTURAL","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-017","RA-EVD-007","ORYNTH-RA-001","TST-003","DIRECT_ARCHITECTURAL","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-018","RA-EVD-007","ORYNTH-RA-001","EXE-001","DIRECT_ARCHITECTURAL","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-019","RA-EVD-008","ORYNTH-RA-001","EXE-002","DIRECT_ARCHITECTURAL","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-020","RA-EVD-008","ORYNTH-RA-001","EXE-003","DIRECT_ARCHITECTURAL","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-021","RA-EVD-009","ORYNTH-RA-001","ACT-001","STRUCTURAL","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-022","RA-EVD-009","ORYNTH-RA-001","SCP-001","STRUCTURAL","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-023","RA-EVD-010","ORYNTH-RA-001","AUTH-003","DIRECT_BOUNDARY","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-024","RA-EVD-010","ORYNTH-RA-001","SCP-001","DIRECT_BOUNDARY","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-025","RA-EVD-011","ORYNTH-RA-001","DOC-003","DIRECT_ARCHITECTURAL","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
"ETM-026","RA-EVD-011","ORYNTH-RA-001","TST-003","DIRECT_ARCHITECTURAL","EVIDENCE_CAPABILITY_ONLY","NOT_YET_ADJUDICATED"
