"requirement_id","source_id","source_name","central_duty","trace_final_verdict","adversarial_recommended_verdict","generated_release_verdict","exception_reason","evidence_ids","reviewer_final_verdict","reviewer_decision","reviewer_rationale","reviewer_name","review_date","exception_resolved"
"EO14409-REQ-008","FED-EO-14409","Executive Order 14409","Coordinate and deconflict software-vulnerability scanning","UNRESOLVED","UNRESOLVED","UNRESOLVED","No resolved release verdict is available. | Unrecognized architectural applicability state 'UNCERTAIN'.","AAS-EVD-009;RA-EVD-004;RA-EVD-007;RA-EVD-011;RA-EVD-015;RA-EVD-016","","","","","","FALSE"
"EO14409-REQ-010","FED-EO-14409","Executive Order 14409","Coordinate and prioritize remediation and distribution of vulnerability patches","UNRESOLVED","UNRESOLVED","UNRESOLVED","No resolved release verdict is available. | Unrecognized architectural applicability state 'UNCERTAIN'.","","","","","","","FALSE"
"EO14409-REQ-015","FED-EO-14409","Executive Order 14409","Make covered-frontier-model determinations in consultation with designated officials","UNRESOLVED","UNRESOLVED","UNRESOLVED","No resolved release verdict is available. | Unrecognized architectural applicability state 'UNCERTAIN'.","AAS-EVD-008;AAS-EVD-012;AAS-EVD-019;RA-EVD-001;RA-EVD-003","","","","","","FALSE"
"EO14409-REQ-016","FED-EO-14409","Executive Order 14409","Design a voluntary framework with AI developers","UNRESOLVED","UNRESOLVED","UNRESOLVED","No resolved release verdict is available. | Unrecognized architectural applicability state 'UNCERTAIN'.","","","","","","","FALSE"
"EO14409-REQ-017","FED-EO-14409","Executive Order 14409","Engage the Federal Government to determine whether models under development meet the covered-frontier-model designation","UNRESOLVED","UNRESOLVED","UNRESOLVED","No resolved release verdict is available. | Unrecognized architectural applicability state 'UNCERTAIN'.","AAS-EVD-008;AAS-EVD-012;RA-EVD-001","","","","","","FALSE"
"EO14409-REQ-025","FED-EO-14409","Executive Order 14409","Recognize that the order creates no privately enforceable substantive or procedural right or benefit","UNRESOLVED","UNRESOLVED","UNRESOLVED","No resolved release verdict is available. | Unrecognized architectural applicability state 'UNCERTAIN'.","","","","","","","FALSE"
"MN-HF1606-REQ-002","MN-HF-1606","Minnesota HF 1606 / Chapter 72","Must not nudify an image or video on behalf of a user.","UNRESOLVED","UNRESOLVED","UNRESOLVED","No resolved release verdict is available. | Unrecognized architectural applicability state 'UNCERTAIN'.","","","","","","","FALSE"
"MN-HF1606-REQ-003","MN-HF-1606","Minnesota HF 1606 / Chapter 72","Must not advertise or promote a service that performs prohibited nudification actions.","UNRESOLVED","UNRESOLVED","UNRESOLVED","No resolved release verdict is available. | Unrecognized architectural applicability state 'UNCERTAIN'.","","","","","","","FALSE"
"MN-HF1606-REQ-004","MN-HF-1606","Minnesota HF 1606 / Chapter 72","Subdivision 2 prohibitions do not apply when the service requires the technical skill of a user to nudify media.","UNRESOLVED","UNRESOLVED","UNRESOLVED","No resolved release verdict is available. | Unrecognized architectural applicability state 'UNCERTAIN'.","AAS-EVD-005;AAS-EVD-013;AAS-EVD-016;AAS-EVD-018;RA-EVD-009;RA-EVD-010;RA-EVD-014;RA-EVD-019;RA-EVD-020","","","","","","FALSE"
"MN-HF1606-REQ-005","MN-HF-1606","Minnesota HF 1606 / Chapter 72","May be sued by an individual depicted in unlawfully nudified media.","UNRESOLVED","UNRESOLVED","UNRESOLVED","No resolved release verdict is available. | Unrecognized architectural applicability state 'UNCERTAIN'.","","","","","","","FALSE"
"MN-HF1606-REQ-006","MN-HF-1606","Minnesota HF 1606 / Chapter 72","Subject to compensatory damages, including mental anguish or suffering, up to three times actual damages.","UNRESOLVED","UNRESOLVED","UNRESOLVED","No resolved release verdict is available. | Unrecognized architectural applicability state 'UNCERTAIN'.","","","","","","","FALSE"
