"verification_id","verification_class","subject","expected_state","actual_state","verification_state","rationale"
"DRV-001","DECISION_RULE","CENTRAL_DUTY_IDENTIFICATION","ORDER=1;REQUIRED=TRUE","ORDER=1;REQUIRED=TRUE","PASS","Frozen rule must exist at its controlling order."
"DRV-002","DECISION_RULE","ARCHITECTURAL_APPLICABILITY","ORDER=2;REQUIRED=TRUE","ORDER=2;REQUIRED=TRUE","PASS","Frozen rule must exist at its controlling order."
"DRV-003","DECISION_RULE","REVIEWED_TAXONOMY_MAPPING","ORDER=3;REQUIRED=TRUE","ORDER=3;REQUIRED=TRUE","PASS","Frozen rule must exist at its controlling order."
"DRV-004","DECISION_RULE","PUBLIC_EVIDENCE_DERIVATION","ORDER=4;REQUIRED=TRUE","ORDER=4;REQUIRED=TRUE","PASS","Frozen rule must exist at its controlling order."
"DRV-005","DECISION_RULE","FUNCTIONAL_PERFORMANCE_TEST","ORDER=5;REQUIRED=TRUE","ORDER=5;REQUIRED=TRUE","PASS","Frozen rule must exist at its controlling order."
"DRV-006","DECISION_RULE","MATERIAL_RESIDUAL_TEST","ORDER=6;REQUIRED=TRUE","ORDER=6;REQUIRED=TRUE","PASS","Frozen rule must exist at its controlling order."
"DRV-007","DECISION_RULE","NEIGHBOR_VERDICT_COUNTERFACTUAL","ORDER=7;REQUIRED=TRUE","ORDER=7;REQUIRED=TRUE","PASS","Frozen rule must exist at its controlling order."
"DRV-008","DECISION_RULE","CONFIDENCE_AND_CHALLENGE_STATUS","ORDER=8;REQUIRED=TRUE","ORDER=8;REQUIRED=TRUE","PASS","Frozen rule must exist at its controlling order."
"DRV-009","DECISION_RULE","ROW_SEALING","ORDER=9;REQUIRED=TRUE","ORDER=9;REQUIRED=TRUE","PASS","Frozen rule must exist at its controlling order."
"DRV-010","DECISION_RULE","POST_HOC_DISTRIBUTION","ORDER=10;REQUIRED=TRUE","ORDER=10;REQUIRED=TRUE","PASS","Frozen rule must exist at its controlling order."
"DRV-011","RULE_INTEGRITY","UNIQUE_RULE_IDS","NO_DUPLICATES","NO_DUPLICATES","PASS","Decision controls must be deterministic and unique."
"DRV-012","RULE_INTEGRITY","UNIQUE_RULE_NAMES","NO_DUPLICATES","NO_DUPLICATES","PASS","Decision controls must be deterministic and unique."
"DRV-013","RULE_INTEGRITY","UNIQUE_RULE_ORDERS","NO_DUPLICATES","NO_DUPLICATES","PASS","Decision controls must be deterministic and unique."
"DRV-014","REFERENTIAL_INTEGRITY","EVIDENCE_IDS_RESOLVE","UNKNOWN_REFERENCES=0","UNKNOWN_REFERENCES=0","PASS","Future adjudication may use only defined source, taxonomy, and evidence identifiers."
"DRV-015","REFERENTIAL_INTEGRITY","EVIDENCE_TAXONOMY_TYPES_RESOLVE","UNKNOWN_REFERENCES=0","UNKNOWN_REFERENCES=0","PASS","Future adjudication may use only defined source, taxonomy, and evidence identifiers."
"DRV-016","REFERENTIAL_INTEGRITY","SOURCE_TAXONOMY_TYPES_RESOLVE","UNKNOWN_REFERENCES=0","UNKNOWN_REFERENCES=0","PASS","Future adjudication may use only defined source, taxonomy, and evidence identifiers."
