"source_requirement_id","source_record_id","mapped_type_count","normalized_type_ids","direct_mapping_count","related_mapping_count","normalization_status"
"EO14409-REQ-001","FED-EO-14409","2","ACT-002;SEC-001","2","0","MAPPED"
"EO14409-REQ-002","FED-EO-14409","2","ACT-002;SEC-001","2","0","MAPPED"
"EO14409-REQ-003","FED-EO-14409","2","GOV-001;SEC-001","1","1","MAPPED"
"EO14409-REQ-004","FED-EO-14409","2","GOV-001;SEC-001","2","0","MAPPED"
"EO14409-REQ-005","FED-EO-14409","2","EVD-004;SEC-002","1","1","MAPPED"
"EO14409-REQ-006","FED-EO-14409","2","GOV-001;VOL-004","2","0","MAPPED"
"EO14409-REQ-007","FED-EO-14409","1","VOL-004","1","0","MAPPED"
"EO14409-REQ-008","FED-EO-14409","2","SEC-005;TST-003","1","1","MAPPED"
"EO14409-REQ-009","FED-EO-14409","2","SEC-005;TST-003","2","0","MAPPED"
"EO14409-REQ-010","FED-EO-14409","2","INC-003;SEC-005","2","0","MAPPED"
"EO14409-REQ-011","FED-EO-14409","1","GOV-003","1","0","MAPPED"
"EO14409-REQ-012","FED-EO-14409","1","GOV-002","1","0","MAPPED"
"EO14409-REQ-013","FED-EO-14409","3","EVD-005;SEC-001;TST-001","2","1","MAPPED"
"EO14409-REQ-014","FED-EO-14409","2","CLS-002;SCP-002","2","0","MAPPED"
"EO14409-REQ-015","FED-EO-14409","2","AUTH-001;CLS-001","2","0","MAPPED"
"EO14409-REQ-016","FED-EO-14409","2","GOV-001;VOL-004","2","0","MAPPED"
"EO14409-REQ-017","FED-EO-14409","2","CLS-001;VOL-001","1","1","MAPPED"
"EO14409-REQ-018","FED-EO-14409","3","EVD-004;SEC-002;VOL-003","3","0","MAPPED"
"EO14409-REQ-019","FED-EO-14409","4","EVD-005;SEC-001;SEC-003;SEC-004","4","0","MAPPED"
"EO14409-REQ-020","FED-EO-14409","2","SEC-002;VOL-004","1","1","MAPPED"
"EO14409-REQ-021","FED-EO-14409","2","AUTH-002;SCP-001","1","1","MAPPED"
"EO14409-REQ-022","FED-EO-14409","1","ENF-005","1","0","MAPPED"
"EO14409-REQ-023","FED-EO-14409","1","AUTH-003","1","0","MAPPED"
"EO14409-REQ-024","FED-EO-14409","2","AUTH-002;SCP-001","1","1","MAPPED"
"EO14409-REQ-025","FED-EO-14409","1","SCP-004","1","0","MAPPED"
"MN-HF1606-REQ-001","MN-HF-1606","3","EXE-002;HUM-002;PRO-002","3","0","MAPPED"
"MN-HF1606-REQ-002","MN-HF-1606","2","HUM-002;PRO-001","2","0","MAPPED"
"MN-HF1606-REQ-003","MN-HF-1606","1","PRO-003","1","0","MAPPED"
"MN-HF1606-REQ-004","MN-HF-1606","2","SCP-001;SCP-003","2","0","MAPPED"
"MN-HF1606-REQ-005","MN-HF-1606","2","ENF-002;HUM-002","1","1","MAPPED"
"MN-HF1606-REQ-006","MN-HF-1606","1","ENF-004","1","0","MAPPED"
"MN-HF1606-REQ-007","MN-HF-1606","1","ENF-001","1","0","MAPPED"
"MN-HF1606-REQ-008","MN-HF-1606","1","ENF-003","1","0","MAPPED"
"MN-HF1606-REQ-009","MN-HF-1606","2","GOV-003;HUM-002","0","2","MAPPED"
