"evidence_id","artifact_id","section","evidence_name","evidence_summary","mechanism","normalized_type_ids","evidence_strength","scope_limit"
"AAS-EVD-001","ORYNTH-AAS-001","1","Evidence-bound architectural audit","Defines bounded architectural conformance audit.","BOUNDED_CONFORMANCE_AUDIT","AUD-001;AUD-003","DIRECT_AUDIT","Does not determine legal compliance or safety."
"AAS-EVD-002","ORYNTH-AAS-001","2","Evidence-bounded conclusion","Limits conclusions to admissible evidence and declared methodology.","EVIDENCE_BOUND","EVD-001;AUD-003","DIRECT_AUDIT","Unsupported conclusions are prohibited."
"AAS-EVD-003","ORYNTH-AAS-001","2","Declared reproducible methodology","Requires declared, versioned, reproducible methodology.","DECLARED_METHODOLOGY","DOC-001;AUD-002;AUD-003","DIRECT_AUDIT","Depends on method and evidence availability."
"AAS-EVD-004","ORYNTH-AAS-001","2","Audit noninterference","Prevents audit collection from modifying the evaluated system.","AUDIT_NONINTERFERENCE","AUD-001;SEC-002","DIRECT_AUDIT","Architectural independence is not complete institutional independence."
"AAS-EVD-005","ORYNTH-AAS-001","3","Fixed audit scope","Identifies system, reference state, version, properties, and exclusions.","SCOPE_FIXATION","SCP-001;ACT-001;DOC-003","DIRECT_AUDIT","Unscoped properties remain unevaluated."
"AAS-EVD-006","ORYNTH-AAS-001","4","Bounded audit lifecycle","Controls initialization, scope, evidence, evaluation, determination, and attestation.","AUDIT_STATE_MACHINE","AUD-001;AUD-003;DOC-003","DIRECT_AUDIT","Distinct from operational runtime control."
"AAS-EVD-007","ORYNTH-AAS-001","5","Single-state audit instance","Constrains each audit instance to one governed state and one attested output.","SINGLE_STATE_AUDIT_INSTANCE","EVD-003;DOC-003;AUD-003","DIRECT_AUDIT","Allows separately identified audit instances."
"AAS-EVD-008","ORYNTH-AAS-001","6","Evidence classification","Classifies evidence supporting an audit determination.","EVIDENCE_CLASSIFICATION","EVD-001;CLS-001","DIRECT_EVIDENTIARY","Classification does not itself establish admissibility."
"AAS-EVD-009","ORYNTH-AAS-001","6","Evidence admissibility gate","Requires admissibility before evidence evaluation.","EVIDENCE_ADMISSIBILITY_GATE","EVD-001;TST-003;EXE-001","DIRECT_EVIDENTIARY","Applies to audit evidence, not operational action."
"AAS-EVD-010","ORYNTH-AAS-001","6","Evidence record retention","Retains classification, context, and source relationships.","EVIDENCE_RECORD_RETENTION","EVD-002;EVD-003;DOC-003","DIRECT_EVIDENTIARY","Retention duration may require external policy."
"AAS-EVD-011","ORYNTH-AAS-001","7","Predeclared evaluation method","Fixes the evaluation process before evidence evaluation.","PREDECLARED_EVALUATION_METHOD","DOC-001;AUD-002","DIRECT_AUDIT","Method suitability remains purpose-dependent."
"AAS-EVD-012","ORYNTH-AAS-001","8","Three-state determination","Produces conformant, nonconformant, or indeterminate determinations.","TERNARY_DETERMINATION","AUD-003;CLS-001","DIRECT_AUDIT","Indeterminate is distinct from the other verdicts."
"AAS-EVD-013","ORYNTH-AAS-001","8","Unsupported-inference boundary","Records unevaluated or indeterminate matters instead of favorable inference.","INFERENCE_BOUNDARY","AUTH-002;AUD-003;SCP-001","DIRECT_BOUNDARY","Limits audit claims rather than runtime."
"AAS-EVD-014","ORYNTH-AAS-001","9","Attested audit record","Records scope, determinations, evidence, methodology, versions, and derivation.","ATTESTED_AUDIT_RECORD","EVD-002;EVD-003;DOC-003;AUD-003","DIRECT_EVIDENTIARY","Does not establish universal truth."
"AAS-EVD-015","ORYNTH-AAS-001","10","Conclusion-to-evidence derivation","Binds conclusions to evaluation steps and admissible evidence.","DERIVATION_CHAIN","EVD-003;AUD-002;AUD-003","DIRECT_EVIDENTIARY","Cannot repair invalid source evidence."
"AAS-EVD-016","ORYNTH-AAS-001","11","Point-in-time conclusion","Limits findings to the evaluated version and point in time.","TEMPORAL_CONFORMANCE_BOUNDARY","SCP-001;AUTH-002;AUD-003","DIRECT_BOUNDARY","Does not guarantee future conformance."
"AAS-EVD-017","ORYNTH-AAS-001","12","One-way independence boundary","Allows evidence into audit while preventing effects from returning.","ONE_WAY_INDEPENDENCE_BOUNDARY","AUD-001;SEC-002;AUTH-002","DIRECT_AUDIT","Not a complete procedural ethics standard."
"AAS-EVD-018","ORYNTH-AAS-001","13","Explicit audit exclusions","Excludes legal compliance, safety, risk, fitness, authorization, eligibility, and deployment certification.","AUDIT_SCOPE_EXCLUSIONS","SCP-001;AUTH-002","DIRECT_BOUNDARY","Prohibits legal-certification interpretation."
"AAS-EVD-019","ORYNTH-AAS-001","14","Specification primacy","Treats tooling as illustrative rather than constitutive of conformance.","SPECIFICATION_PRIMACY","AUTH-001;AUTH-002;AUD-003","DIRECT_BOUNDARY","Tool use alone does not prove valid audit."
"AAS-EVD-020","ORYNTH-AAS-001","16","Conclusion answerability","Requires every conclusion to remain answerable to its evidence and method.","CONCLUSION_ANSWERABILITY","EVD-003;AUD-002;AUD-003","DIRECT_AUDIT","Supports bounded architectural assurance only."
