"requirement_id","source_id","source_name","central_duty","original_applicability","final_applicability","original_release_verdict","final_release_verdict","adjudication_decision","adjudication_rationale","residual_boundary","original_exception","legal_compliance_determination","external_legal_authority_preserved","method_version"
"EO14409-REQ-008","FED-EO-14409","Executive Order 14409","Coordinate and deconflict software-vulnerability scanning","UNCERTAIN","PARTIALLY_ARCHITECTURAL","UNRESOLVED","RELATED","BOUND_MIXED_COORDINATION_DUTY","ORYNTH provides evidence reconciliation, eligibility, reference-state validation, and governed-evolution mechanisms relevant to coordinated vulnerability-scanning evidence. It does not operate the federal clearinghouse, coordinate independent scanning programs, or deconflict operational scanning activity.","Operational multi-party scanning coordination, clearinghouse authority, deconfliction procedures, and vulnerability-program execution remain external.","No resolved release verdict is available. | Unrecognized architectural applicability state 'UNCERTAIN'.","NOT_ASSESSED","TRUE","05A-R5B-V1"
"EO14409-REQ-010","FED-EO-14409","Executive Order 14409","Coordinate and prioritize remediation and distribution of vulnerability patches","UNCERTAIN","ARCHITECTURAL","UNRESOLVED","GAP","BOUND_ARCHITECTURAL_OPERATIONAL_DUTY","Patch prioritization, remediation routing, and patch distribution are architecturally implementable operational functions. No qualifying public ORYNTH evidence currently performs those functions.","A public remediation-prioritization, patch-routing, distribution, and deployment-verification mechanism is required.","No resolved release verdict is available. | Unrecognized architectural applicability state 'UNCERTAIN'.","NOT_ASSESSED","TRUE","05A-R5B-V1"
"EO14409-REQ-015","FED-EO-14409","Executive Order 14409","Make covered-frontier-model determinations in consultation with designated officials","UNCERTAIN","PARTIALLY_ARCHITECTURAL","UNRESOLVED","PARTIALLY_ADDRESSED","BOUND_MIXED_DETERMINATION_AUTHORITY_DUTY","ORYNTH provides specification primacy, evidence classification, ternary determination, authorization separation, and governed-stage mechanisms that can support a frontier-model determination process. Statutory designation authority and consultation with named federal officials remain external.","Domain-specific designation criteria, statutory authority, designated-official consultation, and government adoption remain required.","No resolved release verdict is available. | Unrecognized architectural applicability state 'UNCERTAIN'.","NOT_ASSESSED","TRUE","05A-R5B-V1"
"EO14409-REQ-016","FED-EO-14409","Executive Order 14409","Design a voluntary framework with AI developers","UNCERTAIN","NON_ARCHITECTURAL","UNRESOLVED","NOT_APPLICABLE","BOUND_EXTERNAL_POLICY_DESIGN_DUTY","Designing a voluntary federal framework with private developers is a policy, stakeholder-engagement, and governmental program-design responsibility rather than a function performed by the ORYNTH architecture.","Framework authorship, stakeholder consultation, governmental adoption, and voluntary participation remain responsibilities of external actors.","No resolved release verdict is available. | Unrecognized architectural applicability state 'UNCERTAIN'.","NOT_ASSESSED","TRUE","05A-R5B-V1"
"EO14409-REQ-017","FED-EO-14409","Executive Order 14409","Engage the Federal Government to determine whether models under development meet the covered-frontier-model designation","UNCERTAIN","PARTIALLY_ARCHITECTURAL","UNRESOLVED","RELATED","BOUND_MIXED_EVIDENCE_ENGAGEMENT_DUTY","ORYNTH evidence-classification and determination mechanisms can structure information used during a model-designation inquiry. They do not perform developer engagement with the Federal Government or create the legal designation.","Government engagement, submission procedures, statutory criteria, official consultation, and designation authority remain external.","No resolved release verdict is available. | Unrecognized architectural applicability state 'UNCERTAIN'.","NOT_ASSESSED","TRUE","05A-R5B-V1"
"EO14409-REQ-025","FED-EO-14409","Executive Order 14409","Recognize that the order creates no privately enforceable substantive or procedural right or benefit","UNCERTAIN","NON_ARCHITECTURAL","UNRESOLVED","NOT_APPLICABLE","BOUND_EXTERNAL_LEGAL_EFFECT_DUTY","Whether an executive order creates a privately enforceable right or benefit is a legal-effect boundary determined by law and courts, not an architectural function.","Interpretation and enforcement of private rights remain within external legal authority.","No resolved release verdict is available. | Unrecognized architectural applicability state 'UNCERTAIN'.","NOT_ASSESSED","TRUE","05A-R5B-V1"
"MN-HF1606-REQ-002","MN-HF-1606","Minnesota HF 1606 / Chapter 72","Must not nudify an image or video on behalf of a user.","UNCERTAIN","ARCHITECTURAL","UNRESOLVED","GAP","BOUND_ARCHITECTURAL_PROHIBITED_FUNCTION_DUTY","Preventing a covered service from performing prohibited nudification is an architecturally enforceable execution-denial requirement. No qualifying public ORYNTH evidence currently demonstrates nudification-specific detection, classification, or execution blocking.","Domain-specific content classification, prohibited-function detection, execution denial, exception handling, and implementation evidence are required.","No resolved release verdict is available. | Unrecognized architectural applicability state 'UNCERTAIN'.","NOT_ASSESSED","TRUE","05A-R5B-V1"
"MN-HF1606-REQ-003","MN-HF-1606","Minnesota HF 1606 / Chapter 72","Must not advertise or promote a service that performs prohibited nudification actions.","UNCERTAIN","NON_ARCHITECTURAL","UNRESOLVED","NOT_APPLICABLE","BOUND_EXTERNAL_ADVERTISING_CONDUCT_DUTY","The prohibition on advertising or promoting a prohibited service regulates commercial and communicative conduct rather than the internal execution governance functions demonstrated by public ORYNTH artifacts.","Advertising review, marketing controls, platform moderation, and legal enforcement remain external organizational responsibilities.","No resolved release verdict is available. | Unrecognized architectural applicability state 'UNCERTAIN'.","NOT_ASSESSED","TRUE","05A-R5B-V1"
"MN-HF1606-REQ-004","MN-HF-1606","Minnesota HF 1606 / Chapter 72","Subdivision 2 prohibitions do not apply when the service requires the technical skill of a user to nudify media.","UNCERTAIN","PARTIALLY_ARCHITECTURAL","UNRESOLVED","RELATED","BOUND_MIXED_STATUTORY_EXCEPTION_DUTY","ORYNTH provides scope fixation, assurance boundaries, exclusions, inference boundaries, and responsibility separation relevant to evaluating whether a condition falls outside a governed scope. It does not determine whether the statutory technical-skill exemption is legally satisfied.","The statutory meaning of technical skill, factual evidence of user activity, legal exception criteria, and authoritative exemption determination remain external.","No resolved release verdict is available. | Unrecognized architectural applicability state 'UNCERTAIN'.","NOT_ASSESSED","TRUE","05A-R5B-V1"
"MN-HF1606-REQ-005","MN-HF-1606","Minnesota HF 1606 / Chapter 72","May be sued by an individual depicted in unlawfully nudified media.","UNCERTAIN","NON_ARCHITECTURAL","UNRESOLVED","NOT_APPLICABLE","BOUND_EXTERNAL_CIVIL_REMEDY_DUTY","The availability of a private civil action is a legal remedy and judicial process, not a function that ORYNTH architectural mechanisms can perform.","Standing, filing, adjudication, damages, injunctions, and judicial enforcement remain within external legal institutions.","No resolved release verdict is available. | Unrecognized architectural applicability state 'UNCERTAIN'.","NOT_ASSESSED","TRUE","05A-R5B-V1"
