"event_id","record_id","jurisdiction","event_date","event_type","measure","policy_family"
"IL-HB-3773-ISSUE","IL-HB-3773","Illinois","2023-02-17","BILL_INTRODUCED","HB 3773","EMPLOYMENT_AI_AND_DISCRIMINATION"
"CA-SB-942-ISSUE","CA-SB-942","California","2024-01-17","BILL_INTRODUCED","SB 942","GENERATIVE_AI_TRANSPARENCY_AND_PROVENANCE"
"TN-HB-2091-ISSUE","TN-HB-2091","Tennessee","2024-01-25","BILL_INTRODUCED","HB 2091","VOICE_LIKENESS_AND_DIGITAL_REPLICA"
"UT-SB-149-ISSUE","UT-SB-149","Utah","2024-01-25","BILL_INTRODUCED","SB 149","AI_DISCLOSURE_AND_REGULATORY_LEARNING"
"UT-SB-149-ENACT","UT-SB-149","Utah","2024-03-13","LAW_SIGNED_OR_ENACTED","SB 149","AI_DISCLOSURE_AND_REGULATORY_LEARNING"
"TN-HB-2091-ENACT","TN-HB-2091","Tennessee","2024-03-21","LAW_SIGNED_OR_ENACTED","HB 2091","VOICE_LIKENESS_AND_DIGITAL_REPLICA"
"CO-SB24-205-ISSUE","CO-SB24-205","Colorado","2024-04-10","BILL_INTRODUCED","SB 24-205","COMPREHENSIVE_HIGH_RISK_AI"
"UT-SB-149-EFFECTIVE","UT-SB-149","Utah","2024-05-01","EFFECTIVE_DATE","SB 149","AI_DISCLOSURE_AND_REGULATORY_LEARNING"
"CO-SB24-205-ENACT","CO-SB24-205","Colorado","2024-05-17","LAW_SIGNED_OR_ENACTED","SB 24-205","COMPREHENSIVE_HIGH_RISK_AI"
"TN-HB-2091-EFFECTIVE","TN-HB-2091","Tennessee","2024-07-01","EFFECTIVE_DATE","HB 2091","VOICE_LIKENESS_AND_DIGITAL_REPLICA"
"IL-HB-3773-ENACT","IL-HB-3773","Illinois","2024-08-09","LAW_SIGNED_OR_ENACTED","HB 3773","EMPLOYMENT_AI_AND_DISCRIMINATION"
"CA-SB-942-ENACT","CA-SB-942","California","2024-09-19","LAW_SIGNED_OR_ENACTED","SB 942","GENERATIVE_AI_TRANSPARENCY_AND_PROVENANCE"
"MN-HF-1606-ISSUE","MN-HF-1606","Minnesota","2025-02-26","BILL_INTRODUCED","HF 1606","SYNTHETIC_SEXUAL_MEDIA"
"TX-HB-149-ISSUE","TX-HB-149","Texas","2025-03-14","BILL_INTRODUCED","HB 149","GENERAL_AI_PROHIBITIONS_AND_SANDBOX"
"TX-HB-149-ENACT","TX-HB-149","Texas","2025-06-22","LAW_SIGNED_OR_ENACTED","HB 149","GENERAL_AI_PROHIBITIONS_AND_SANDBOX"
"CA-SB-942-EFFECTIVE","CA-SB-942","California","2026-01-01","EFFECTIVE_DATE","SB 942","GENERATIVE_AI_TRANSPARENCY_AND_PROVENANCE"
"IL-HB-3773-EFFECTIVE","IL-HB-3773","Illinois","2026-01-01","EFFECTIVE_DATE","HB 3773","EMPLOYMENT_AI_AND_DISCRIMINATION"
"TX-HB-149-EFFECTIVE","TX-HB-149","Texas","2026-01-01","EFFECTIVE_DATE","HB 149","GENERAL_AI_PROHIBITIONS_AND_SANDBOX"
"MN-HF-1606-ENACT","MN-HF-1606","Minnesota","2026-05-07","LAW_SIGNED_OR_ENACTED","HF 1606","SYNTHETIC_SEXUAL_MEDIA"
"FED-EO-14409-EFFECTIVE","FED-EO-14409","United States","2026-06-02","EFFECTIVE_DATE","Executive Order 14409","FRONTIER_MODEL_CYBERSECURITY"
"FED-EO-14409-ISSUE","FED-EO-14409","United States","2026-06-02","EXECUTIVE_ORDER_ISSUED","Executive Order 14409","FRONTIER_MODEL_CYBERSECURITY"
"FED-EO-14409-ENACT","FED-EO-14409","United States","2026-06-02","EXECUTIVE_ORDER_SIGNED","Executive Order 14409","FRONTIER_MODEL_CYBERSECURITY"
"CO-SB24-205-EFFECTIVE","CO-SB24-205","Colorado","2026-06-30","EFFECTIVE_DATE","SB 24-205","COMPREHENSIVE_HIGH_RISK_AI"
"MN-HF-1606-EFFECTIVE","MN-HF-1606","Minnesota","2026-08-01","EFFECTIVE_DATE","HF 1606","SYNTHETIC_SEXUAL_MEDIA"
"FED-EO-14409-IMPLEMENT","FED-EO-14409","United States","2026-08-01","IMPLEMENTATION_OR_COMPLIANCE_DATE","Executive Order 14409","FRONTIER_MODEL_CYBERSECURITY"
