"requirement_id","provisional_verdict","recommended_verdict","movement_class","final_state"
"EO14409-REQ-001","PARTIALLY_ADDRESSED","PARTIALLY_ADDRESSED","UPHOLD","PENDING_R5_CONSOLIDATION"
"EO14409-REQ-002","PARTIALLY_ADDRESSED","PARTIALLY_ADDRESSED","UPHOLD","PENDING_R5_CONSOLIDATION"
"EO14409-REQ-003","GAP","GAP","UPHOLD","PENDING_R5_CONSOLIDATION"
"EO14409-REQ-004","GAP","GAP","UPHOLD","PENDING_R5_CONSOLIDATION"
"EO14409-REQ-005","ADDRESSED","PARTIALLY_ADDRESSED","CHANGE_RECOMMENDED","PENDING_R5_CONSOLIDATION"
"EO14409-REQ-006","GAP","GAP","UPHOLD","PENDING_R5_CONSOLIDATION"
"EO14409-REQ-007","GAP","GAP","UPHOLD","PENDING_R5_CONSOLIDATION"
"EO14409-REQ-008","UNRESOLVED","UNRESOLVED","UPHOLD","PENDING_R5_CONSOLIDATION"
"EO14409-REQ-009","PARTIALLY_ADDRESSED","PARTIALLY_ADDRESSED","UPHOLD","PENDING_R5_CONSOLIDATION"
"EO14409-REQ-010","UNRESOLVED","UNRESOLVED","UPHOLD","PENDING_R5_CONSOLIDATION"
"EO14409-REQ-011","GAP","GAP","UPHOLD","PENDING_R5_CONSOLIDATION"
"EO14409-REQ-012","GAP","GAP","UPHOLD","PENDING_R5_CONSOLIDATION"
"EO14409-REQ-013","GAP","GAP","UPHOLD","PENDING_R5_CONSOLIDATION"
"EO14409-REQ-014","GAP","GAP","UPHOLD","PENDING_R5_CONSOLIDATION"
"EO14409-REQ-015","UNRESOLVED","UNRESOLVED","UPHOLD","PENDING_R5_CONSOLIDATION"
"EO14409-REQ-016","UNRESOLVED","UNRESOLVED","UPHOLD","PENDING_R5_CONSOLIDATION"
"EO14409-REQ-017","UNRESOLVED","UNRESOLVED","UPHOLD","PENDING_R5_CONSOLIDATION"
"EO14409-REQ-018","PARTIALLY_ADDRESSED","PARTIALLY_ADDRESSED","UPHOLD","PENDING_R5_CONSOLIDATION"
"EO14409-REQ-019","GAP","GAP","UPHOLD","PENDING_R5_CONSOLIDATION"
"EO14409-REQ-020","RELATED","RELATED","UPHOLD","PENDING_R5_CONSOLIDATION"
"EO14409-REQ-021","ADDRESSED","PARTIALLY_ADDRESSED","CHANGE_RECOMMENDED","PENDING_R5_CONSOLIDATION"
"EO14409-REQ-022","GAP","GAP","UPHOLD","PENDING_R5_CONSOLIDATION"
"EO14409-REQ-023","ADDRESSED","PARTIALLY_ADDRESSED","CHANGE_RECOMMENDED","PENDING_R5_CONSOLIDATION"
"EO14409-REQ-024","NOT_APPLICABLE","NOT_APPLICABLE","UPHOLD","PENDING_R5_CONSOLIDATION"
"EO14409-REQ-025","UNRESOLVED","UNRESOLVED","UPHOLD","PENDING_R5_CONSOLIDATION"
"MN-HF1606-REQ-001","PARTIALLY_ADDRESSED","PARTIALLY_ADDRESSED","UPHOLD","PENDING_R5_CONSOLIDATION"
"MN-HF1606-REQ-002","UNRESOLVED","UNRESOLVED","UPHOLD","PENDING_R5_CONSOLIDATION"
"MN-HF1606-REQ-003","UNRESOLVED","UNRESOLVED","UPHOLD","PENDING_R5_CONSOLIDATION"
"MN-HF1606-REQ-004","UNRESOLVED","UNRESOLVED","UPHOLD","PENDING_R5_CONSOLIDATION"
"MN-HF1606-REQ-005","UNRESOLVED","UNRESOLVED","UPHOLD","PENDING_R5_CONSOLIDATION"
"MN-HF1606-REQ-006","UNRESOLVED","UNRESOLVED","UPHOLD","PENDING_R5_CONSOLIDATION"
"MN-HF1606-REQ-007","NOT_APPLICABLE","NOT_APPLICABLE","UPHOLD","PENDING_R5_CONSOLIDATION"
"MN-HF1606-REQ-008","GAP","GAP","UPHOLD","PENDING_R5_CONSOLIDATION"
"MN-HF1606-REQ-009","NOT_APPLICABLE","NOT_APPLICABLE","UPHOLD","PENDING_R5_CONSOLIDATION"
