"domain_id","domain_name","definition","constitutional_question"
"DOM-001","AUTHORITY","Assignment, limitation, preservation, delegation, and exercise of decision or enforcement authority.","Who may decide, compel, prohibit, approve, inspect, intervene, or enforce?"
"DOM-002","ACTOR_ACCOUNTABILITY","Identification of responsible developers, deployers, operators, agencies, service controllers, auditors, and other accountable actors.","Which actor bears the duty, liability, or evidentiary burden?"
"DOM-003","EVIDENCE","Creation, preservation, authenticity, lineage, traceability, sufficiency, and availability of evidence.","What proof must exist, who controls it, and can it be independently examined?"
"DOM-004","DOCUMENTATION","Required records, technical descriptions, notices, impact assessments, model information, and compliance materials.","What must be recorded or disclosed before, during, and after system use?"
"DOM-005","RISK_GOVERNANCE","Identification, assessment, mitigation, review, and escalation of foreseeable or material risks.","How are risks discovered, classified, reduced, and reconsidered?"
"DOM-006","SYSTEM_CLASSIFICATION","Determination of whether a system, model, use, or capability falls within a regulated class.","What makes a system legally significant enough to trigger governance?"
"DOM-007","TESTING_AND_EVALUATION","Benchmarking, validation, impact testing, safety evaluation, red teaming, and capability assessment.","How is system capability or risk measured before or during use?"
"DOM-008","EXECUTION_CONTROL","Admission, restriction, suspension, intervention, rollback, termination, and other controls over operational execution.","What controls whether execution may begin, continue, change, or stop?"
"DOM-009","PROHIBITED_CONDUCT","Uses, capabilities, outputs, services, and practices that are forbidden.","What conduct is categorically disallowed?"
"DOM-010","TRANSPARENCY","Notice, disclosure, labeling, provenance communication, and explanation to affected parties or regulators.","Who must be told what, when, and in what form?"
"DOM-011","HUMAN_RIGHTS_AND_REMEDY","Protection against discrimination, privacy invasion, identity misuse, synthetic exploitation, and denial of recourse.","What human interests are protected and what remedy exists after harm?"
"DOM-012","SECURITY","Cybersecurity, access control, insider-risk protection, confidentiality, vulnerability handling, and secure model access.","How are systems, models, data, evidence, and access protected?"
"DOM-013","INCIDENT_RESPONSE","Detection, reporting, containment, investigation, remediation, recovery, and post-incident review.","What happens when harmful, unauthorized, or abnormal behavior occurs?"
"DOM-014","AUDIT_AND_ASSURANCE","Independent examination, reproducibility, conformance testing, regulator inspection, and assurance determinations.","Can another qualified party verify the system and its governance claims?"
"DOM-015","ENFORCEMENT_AND_LIABILITY","Public enforcement, private rights of action, penalties, damages, injunctions, and legal consequences.","What consequence follows violation, and who may initiate it?"
"DOM-016","GOVERNMENT_IMPLEMENTATION","Duties imposed on agencies or officials to construct programs, standards, processes, staffing, or administrative infrastructure.","What governance machinery must government build or maintain?"
"DOM-017","VOLUNTARY_COORDINATION","Noncompulsory consultation, collaboration, information sharing, sandbox participation, or controlled access.","Which governance relationship exists by consent rather than compulsion?"
"DOM-018","SCOPE_AND_EXCEPTIONS","Applicability limits, exemptions, exclusions, thresholds, definitions, and interpretive boundaries.","Where does the requirement begin, and where does it cease to apply?"
