"requirement_id","adjudication_id","review_id","challenge_id","source_id","trace_final_verdict","adversarial_recommended_verdict","human_final_verdict","release_verdict","verdict_basis","evidence_ids","challenge_supporting_evidence_ids","exception_review_required","exception_reason"
"EO14409-REQ-001","IADJ-001","ARV-001","CHL-001","FED-EO-14409","PARTIALLY_ADDRESSED","PARTIALLY_ADDRESSED","","PARTIALLY_ADDRESSED","R4_ADVERSARIAL_RECOMMENDATION","RA-EVD-003;RA-EVD-014","RA-EVD-003;RA-EVD-014","FALSE",""
"EO14409-REQ-002","IADJ-002","ARV-002","CHL-002","FED-EO-14409","PARTIALLY_ADDRESSED","PARTIALLY_ADDRESSED","","PARTIALLY_ADDRESSED","R4_ADVERSARIAL_RECOMMENDATION","RA-EVD-003;RA-EVD-014","RA-EVD-003;RA-EVD-014","FALSE",""
"EO14409-REQ-003","IADJ-003","ARV-003","CHL-003","FED-EO-14409","GAP","GAP","","GAP","R4_ADVERSARIAL_RECOMMENDATION","","","FALSE",""
"EO14409-REQ-004","IADJ-004","ARV-004","CHL-004","FED-EO-14409","GAP","GAP","","GAP","R4_ADVERSARIAL_RECOMMENDATION","","","FALSE",""
"EO14409-REQ-005","IADJ-005","ARV-005","CHL-005","FED-EO-14409","ADDRESSED","PARTIALLY_ADDRESSED","","PARTIALLY_ADDRESSED","R4_ADVERSARIAL_RECOMMENDATION","AAS-EVD-004;AAS-EVD-017;RA-EVD-017","AAS-EVD-004;AAS-EVD-017;RA-EVD-017","FALSE",""
"EO14409-REQ-006","IADJ-006","ARV-006","CHL-006","FED-EO-14409","GAP","GAP","","GAP","R4_ADVERSARIAL_RECOMMENDATION","","","FALSE",""
"EO14409-REQ-007","IADJ-007","ARV-007","CHL-007","FED-EO-14409","GAP","GAP","","GAP","R4_ADVERSARIAL_RECOMMENDATION","","","FALSE",""
"EO14409-REQ-008","IADJ-008","ARV-008","CHL-008","FED-EO-14409","UNRESOLVED","UNRESOLVED","","RELATED","PASS_05A_R5B_EXPLICIT_APPLICABILITY_ADJUDICATION","AAS-EVD-009;RA-EVD-004;RA-EVD-007;RA-EVD-011;RA-EVD-015;RA-EVD-016","AAS-EVD-009;RA-EVD-004;RA-EVD-007;RA-EVD-011;RA-EVD-015;RA-EVD-016","FALSE",""
"EO14409-REQ-009","IADJ-009","ARV-009","CHL-009","FED-EO-14409","PARTIALLY_ADDRESSED","PARTIALLY_ADDRESSED","","PARTIALLY_ADDRESSED","R4_ADVERSARIAL_RECOMMENDATION","AAS-EVD-009;RA-EVD-004;RA-EVD-007;RA-EVD-011;RA-EVD-015;RA-EVD-016","AAS-EVD-009;RA-EVD-004;RA-EVD-007;RA-EVD-011;RA-EVD-015;RA-EVD-016","FALSE",""
"EO14409-REQ-010","IADJ-010","ARV-010","CHL-010","FED-EO-14409","UNRESOLVED","UNRESOLVED","","GAP","PASS_05A_R5B_EXPLICIT_APPLICABILITY_ADJUDICATION","","","FALSE",""
