"attack_id","requirement_id","attack_class","attack_result","finding","verdict_impact"
"ATK-0001","EO14409-REQ-001","CENTRAL_DUTY","SURVIVED","Central duty is concrete.","NONE"
"ATK-0002","EO14409-REQ-001","APPLICABILITY","SURVIVED","Applicability is ARCHITECTURAL.","NONE"
"ATK-0003","EO14409-REQ-001","TAXONOMY_MAPPING","SURVIVED","2 normalized type(s) preserved.","NONE"
"ATK-0004","EO14409-REQ-001","EVIDENCE_DERIVATION","SURVIVED","Trace and ledger evidence sets match.","NONE"
"ATK-0005","EO14409-REQ-001","FUNCTIONAL_PERFORMANCE","SURVIVED","Performance state PARTIAL is supported.","NONE"
"ATK-0006","EO14409-REQ-001","EVIDENCE_SCOPE","SURVIVED","2 restrictive scope statement(s) preserved.","NONE"
"ATK-0007","EO14409-REQ-001","MATERIAL_RESIDUAL","SURVIVED","Residual state is consistent.","NONE"
"ATK-0008","EO14409-REQ-001","CONFIDENCE","SURVIVED","Confidence and counterfactual are sufficient.","NONE"
"ATK-0009","EO14409-REQ-002","CENTRAL_DUTY","SURVIVED","Central duty is concrete.","NONE"
"ATK-0010","EO14409-REQ-002","APPLICABILITY","SURVIVED","Applicability is ARCHITECTURAL.","NONE"
"ATK-0011","EO14409-REQ-002","TAXONOMY_MAPPING","SURVIVED","2 normalized type(s) preserved.","NONE"
"ATK-0012","EO14409-REQ-002","EVIDENCE_DERIVATION","SURVIVED","Trace and ledger evidence sets match.","NONE"
"ATK-0013","EO14409-REQ-002","FUNCTIONAL_PERFORMANCE","SURVIVED","Performance state PARTIAL is supported.","NONE"
"ATK-0014","EO14409-REQ-002","EVIDENCE_SCOPE","SURVIVED","2 restrictive scope statement(s) preserved.","NONE"
"ATK-0015","EO14409-REQ-002","MATERIAL_RESIDUAL","SURVIVED","Residual state is consistent.","NONE"
"ATK-0016","EO14409-REQ-002","CONFIDENCE","SURVIVED","Confidence and counterfactual are sufficient.","NONE"
"ATK-0017","EO14409-REQ-003","CENTRAL_DUTY","SURVIVED","Central duty is concrete.","NONE"
"ATK-0018","EO14409-REQ-003","APPLICABILITY","SURVIVED","Applicability is ARCHITECTURAL.","NONE"
"ATK-0019","EO14409-REQ-003","TAXONOMY_MAPPING","SURVIVED","2 normalized type(s) preserved.","NONE"
"ATK-0020","EO14409-REQ-003","EVIDENCE_DERIVATION","SURVIVED","Trace and ledger evidence sets match.","NONE"
"ATK-0021","EO14409-REQ-003","FUNCTIONAL_PERFORMANCE","SURVIVED","Performance state NONE is supported.","NONE"
"ATK-0022","EO14409-REQ-003","EVIDENCE_SCOPE","SURVIVED","0 restrictive scope statement(s) preserved.","NONE"
"ATK-0023","EO14409-REQ-003","MATERIAL_RESIDUAL","SURVIVED","Residual state is consistent.","NONE"
"ATK-0024","EO14409-REQ-003","CONFIDENCE","SURVIVED","Confidence and counterfactual are sufficient.","NONE"
"ATK-0025","EO14409-REQ-004","CENTRAL_DUTY","SURVIVED","Central duty is concrete.","NONE"
"ATK-0026","EO14409-REQ-004","APPLICABILITY","SURVIVED","Applicability is ARCHITECTURAL.","NONE"
"ATK-0027","EO14409-REQ-004","TAXONOMY_MAPPING","SURVIVED","2 normalized type(s) preserved.","NONE"
"ATK-0028","EO14409-REQ-004","EVIDENCE_DERIVATION","SURVIVED","Trace and ledger evidence sets match.","NONE"
"ATK-0029","EO14409-REQ-004","FUNCTIONAL_PERFORMANCE","SURVIVED","Performance state NONE is supported.","NONE"
"ATK-0030","EO14409-REQ-004","EVIDENCE_SCOPE","SURVIVED","0 restrictive scope statement(s) preserved.","NONE"
"ATK-0031","EO14409-REQ-004","MATERIAL_RESIDUAL","SURVIVED","Residual state is consistent.","NONE"
"ATK-0032","EO14409-REQ-004","CONFIDENCE","SURVIVED","Confidence and counterfactual are sufficient.","NONE"
"ATK-0033","EO14409-REQ-005","CENTRAL_DUTY","SURVIVED","Central duty is concrete.","NONE"
