"field_order","field_name","required","nullable"
"1","adjudication_id","TRUE","FALSE"
"2","requirement_id","TRUE","FALSE"
"3","source_id","TRUE","FALSE"
"4","source_name","TRUE","FALSE"
"5","source_text","TRUE","FALSE"
"6","central_duty","TRUE","FALSE"
"7","supporting_duties","TRUE","CONDITIONAL"
"8","architectural_applicability","TRUE","FALSE"
"9","applicability_rationale","TRUE","FALSE"
"10","normalized_type_ids","TRUE","FALSE"
"11","evidence_ids","TRUE","FALSE"
"12","evidence_mechanisms","TRUE","FALSE"
"13","evidence_scope_limits","TRUE","FALSE"
"14","functional_performance","TRUE","FALSE"
"15","functional_performance_rationale","TRUE","FALSE"
"16","material_residuals","TRUE","FALSE"
"17","proposed_verdict","TRUE","FALSE"
"18","final_verdict","TRUE","FALSE"
"19","confidence","TRUE","FALSE"
"20","neighbor_verdict_counterfactual","TRUE","FALSE"
"21","human_review_status","TRUE","FALSE"
"22","challenge_status","TRUE","FALSE"
"23","challenge_rationale","TRUE","CONDITIONAL"
"24","legal_compliance_determination","TRUE","FALSE"
"25","external_legal_authority_preserved","TRUE","FALSE"
"26","no_quota_assertion","TRUE","FALSE"
"27","row_sealed","TRUE","FALSE"
"28","method_version","TRUE","FALSE"
