"challenge_id","requirement_id","challenged_verdict","challenge_basis","challenger_position","supporting_evidence_ids","resolution_status","resolution_rationale","reviewer","review_state"
"CHL-001","EO14409-REQ-001","PARTIALLY_ADDRESSED","Mandatory complete row-level adversarial review.","Recommended PARTIALLY_ADDRESSED: UPHOLD","RA-EVD-003;RA-EVD-014","PENDING_R5_CONSOLIDATION","R4 recommendation recorded; final resolution remains pending.","DETERMINISTIC_ADVERSARIAL_REVIEW_ENGINE","R4_COMPLETE_R5_REQUIRED"
"CHL-002","EO14409-REQ-002","PARTIALLY_ADDRESSED","Mandatory complete row-level adversarial review.","Recommended PARTIALLY_ADDRESSED: UPHOLD","RA-EVD-003;RA-EVD-014","PENDING_R5_CONSOLIDATION","R4 recommendation recorded; final resolution remains pending.","DETERMINISTIC_ADVERSARIAL_REVIEW_ENGINE","R4_COMPLETE_R5_REQUIRED"
"CHL-003","EO14409-REQ-003","GAP","Mandatory complete row-level adversarial review.","Recommended GAP: UPHOLD","","PENDING_R5_CONSOLIDATION","R4 recommendation recorded; final resolution remains pending.","DETERMINISTIC_ADVERSARIAL_REVIEW_ENGINE","R4_COMPLETE_R5_REQUIRED"
"CHL-004","EO14409-REQ-004","GAP","Mandatory complete row-level adversarial review.","Recommended GAP: UPHOLD","","PENDING_R5_CONSOLIDATION","R4 recommendation recorded; final resolution remains pending.","DETERMINISTIC_ADVERSARIAL_REVIEW_ENGINE","R4_COMPLETE_R5_REQUIRED"
"CHL-005","EO14409-REQ-005","ADDRESSED","Mandatory complete row-level adversarial review.","Recommended PARTIALLY_ADDRESSED: DOWNGRADE","AAS-EVD-004;AAS-EVD-017;RA-EVD-017","PENDING_R5_CONSOLIDATION","R4 recommendation recorded; final resolution remains pending.","DETERMINISTIC_ADVERSARIAL_REVIEW_ENGINE","R4_COMPLETE_R5_REQUIRED"
"CHL-006","EO14409-REQ-006","GAP","Mandatory complete row-level adversarial review.","Recommended GAP: UPHOLD","","PENDING_R5_CONSOLIDATION","R4 recommendation recorded; final resolution remains pending.","DETERMINISTIC_ADVERSARIAL_REVIEW_ENGINE","R4_COMPLETE_R5_REQUIRED"
"CHL-007","EO14409-REQ-007","GAP","Mandatory complete row-level adversarial review.","Recommended GAP: UPHOLD","","PENDING_R5_CONSOLIDATION","R4 recommendation recorded; final resolution remains pending.","DETERMINISTIC_ADVERSARIAL_REVIEW_ENGINE","R4_COMPLETE_R5_REQUIRED"
"CHL-008","EO14409-REQ-008","UNRESOLVED","Mandatory complete row-level adversarial review.","Recommended UNRESOLVED: RECLASSIFY","AAS-EVD-009;RA-EVD-004;RA-EVD-007;RA-EVD-011;RA-EVD-015;RA-EVD-016","PENDING_R5_CONSOLIDATION","R4 recommendation recorded; final resolution remains pending.","DETERMINISTIC_ADVERSARIAL_REVIEW_ENGINE","R4_COMPLETE_R5_REQUIRED"
"CHL-009","EO14409-REQ-009","PARTIALLY_ADDRESSED","Mandatory complete row-level adversarial review.","Recommended PARTIALLY_ADDRESSED: UPHOLD","AAS-EVD-009;RA-EVD-004;RA-EVD-007;RA-EVD-011;RA-EVD-015;RA-EVD-016","PENDING_R5_CONSOLIDATION","R4 recommendation recorded; final resolution remains pending.","DETERMINISTIC_ADVERSARIAL_REVIEW_ENGINE","R4_COMPLETE_R5_REQUIRED"
"CHL-010","EO14409-REQ-010","UNRESOLVED","Mandatory complete row-level adversarial review.","Recommended UNRESOLVED: RECLASSIFY","","PENDING_R5_CONSOLIDATION","R4 recommendation recorded; final resolution remains pending.","DETERMINISTIC_ADVERSARIAL_REVIEW_ENGINE","R4_COMPLETE_R5_REQUIRED"
"CHL-011","EO14409-REQ-011","GAP","Mandatory complete row-level adversarial review.","Recommended GAP: UPHOLD","","PENDING_R5_CONSOLIDATION","R4 recommendation recorded; final resolution remains pending.","DETERMINISTIC_ADVERSARIAL_REVIEW_ENGINE","R4_COMPLETE_R5_REQUIRED"
"CHL-012","EO14409-REQ-012","GAP","Mandatory complete row-level adversarial review.","Recommended GAP: UPHOLD","","PENDING_R5_CONSOLIDATION","R4 recommendation recorded; final resolution remains pending.","DETERMINISTIC_ADVERSARIAL_REVIEW_ENGINE","R4_COMPLETE_R5_REQUIRED"
"CHL-013","EO14409-REQ-013","GAP","Mandatory complete row-level adversarial review.","Recommended GAP: UPHOLD","","PENDING_R5_CONSOLIDATION","R4 recommendation recorded; final resolution remains pending.","DETERMINISTIC_ADVERSARIAL_REVIEW_ENGINE","R4_COMPLETE_R5_REQUIRED"
"CHL-014","EO14409-REQ-014","GAP","Mandatory complete row-level adversarial review.","Recommended GAP: UPHOLD","","PENDING_R5_CONSOLIDATION","R4 recommendation recorded; final resolution remains pending.","DETERMINISTIC_ADVERSARIAL_REVIEW_ENGINE","R4_COMPLETE_R5_REQUIRED"
"CHL-015","EO14409-REQ-015","UNRESOLVED","Mandatory complete row-level adversarial review.","Recommended UNRESOLVED: RECLASSIFY","AAS-EVD-008;AAS-EVD-012;AAS-EVD-019;RA-EVD-001;RA-EVD-003","PENDING_R5_CONSOLIDATION","R4 recommendation recorded; final resolution remains pending.","DETERMINISTIC_ADVERSARIAL_REVIEW_ENGINE","R4_COMPLETE_R5_REQUIRED"
"CHL-016","EO14409-REQ-016","UNRESOLVED","Mandatory complete row-level adversarial review.","Recommended UNRESOLVED: RECLASSIFY","","PENDING_R5_CONSOLIDATION","R4 recommendation recorded; final resolution remains pending.","DETERMINISTIC_ADVERSARIAL_REVIEW_ENGINE","R4_COMPLETE_R5_REQUIRED"
"CHL-017","EO14409-REQ-017","UNRESOLVED","Mandatory complete row-level adversarial review.","Recommended UNRESOLVED: RECLASSIFY","AAS-EVD-008;AAS-EVD-012;RA-EVD-001","PENDING_R5_CONSOLIDATION","R4 recommendation recorded; final resolution remains pending.","DETERMINISTIC_ADVERSARIAL_REVIEW_ENGINE","R4_COMPLETE_R5_REQUIRED"
"CHL-018","EO14409-REQ-018","PARTIALLY_ADDRESSED","Mandatory complete row-level adversarial review.","Recommended PARTIALLY_ADDRESSED: UPHOLD","AAS-EVD-004;AAS-EVD-017;RA-EVD-017","PENDING_R5_CONSOLIDATION","R4 recommendation recorded; final resolution remains pending.","DETERMINISTIC_ADVERSARIAL_REVIEW_ENGINE","R4_COMPLETE_R5_REQUIRED"
"CHL-019","EO14409-REQ-019","GAP","Mandatory complete row-level adversarial review.","Recommended GAP: UPHOLD","","PENDING_R5_CONSOLIDATION","R4 recommendation recorded; final resolution remains pending.","DETERMINISTIC_ADVERSARIAL_REVIEW_ENGINE","R4_COMPLETE_R5_REQUIRED"
