"evidence_id","artifact_id","evidence_name","mechanism","evidence_strength","requirement_use_count","source_count","verdict_classes_supported","scope_limit","legal_compliance_claim"
"AAS-EVD-004","ORYNTH-AAS-001","Audit noninterference","AUDIT_NONINTERFERENCE","DIRECT_AUDIT","3","1","PARTIALLY_ADDRESSED;RELATED","Architectural independence is not complete institutional independence.","NONE"
"AAS-EVD-005","ORYNTH-AAS-001","Fixed audit scope","SCOPE_FIXATION","DIRECT_AUDIT","3","2","ADDRESSED;PARTIALLY_ADDRESSED","Unscoped properties remain unevaluated.","NONE"
"AAS-EVD-008","ORYNTH-AAS-001","Evidence classification","EVIDENCE_CLASSIFICATION","DIRECT_EVIDENTIARY","2","1","PARTIALLY_ADDRESSED","Classification does not itself establish admissibility.","NONE"
"AAS-EVD-009","ORYNTH-AAS-001","Evidence admissibility gate","EVIDENCE_ADMISSIBILITY_GATE","DIRECT_EVIDENTIARY","2","1","PARTIALLY_ADDRESSED","Applies to audit evidence, not operational action.","NONE"
"AAS-EVD-012","ORYNTH-AAS-001","Three-state determination","TERNARY_DETERMINATION","DIRECT_AUDIT","2","1","PARTIALLY_ADDRESSED","Indeterminate is distinct from the other verdicts.","NONE"
"AAS-EVD-013","ORYNTH-AAS-001","Unsupported-inference boundary","INFERENCE_BOUNDARY","DIRECT_BOUNDARY","3","2","ADDRESSED;PARTIALLY_ADDRESSED","Limits audit claims rather than runtime.","NONE"
"AAS-EVD-016","ORYNTH-AAS-001","Point-in-time conclusion","TEMPORAL_CONFORMANCE_BOUNDARY","DIRECT_BOUNDARY","3","2","ADDRESSED;PARTIALLY_ADDRESSED","Does not guarantee future conformance.","NONE"
"AAS-EVD-017","ORYNTH-AAS-001","One-way independence boundary","ONE_WAY_INDEPENDENCE_BOUNDARY","DIRECT_AUDIT","5","1","ADDRESSED;PARTIALLY_ADDRESSED;RELATED","Not a complete procedural ethics standard.","NONE"
"AAS-EVD-018","ORYNTH-AAS-001","Explicit audit exclusions","AUDIT_SCOPE_EXCLUSIONS","DIRECT_BOUNDARY","3","2","ADDRESSED;PARTIALLY_ADDRESSED","Prohibits legal-certification interpretation.","NONE"
"AAS-EVD-019","ORYNTH-AAS-001","Specification primacy","SPECIFICATION_PRIMACY","DIRECT_BOUNDARY","3","1","ADDRESSED;PARTIALLY_ADDRESSED","Tool use alone does not prove valid audit.","NONE"
"RA-EVD-001","ORYNTH-RA-001","Authorization and execution separation","AUTHORIZATION_EXECUTION_SEPARATION","DIRECT_ARCHITECTURAL","2","1","PARTIALLY_ADDRESSED","Does not define domain-specific legal authorization.","NONE"
"RA-EVD-003","ORYNTH-RA-001","Governed stage separation","GOVERNED_STAGE_SEPARATION","DIRECT_ARCHITECTURAL","4","2","PARTIALLY_ADDRESSED;RELATED","Does not assign statutory actors.","NONE"
"RA-EVD-004","ORYNTH-RA-001","Execution eligibility determination","EXECUTION_ELIGIBILITY_GATE","DIRECT_ARCHITECTURAL","2","1","PARTIALLY_ADDRESSED","External policy supplies eligibility criteria.","NONE"
"RA-EVD-007","ORYNTH-RA-001","Condition reconciliation","CONDITION_RECONCILIATION","DIRECT_ARCHITECTURAL","2","1","PARTIALLY_ADDRESSED","Requires external condition and policy inputs.","NONE"
"RA-EVD-008","ORYNTH-RA-001","Execution denial","EXECUTION_DENIAL","DIRECT_ARCHITECTURAL","1","1","PARTIALLY_ADDRESSED","Does not define every domain prohibition.","NONE"
"RA-EVD-009","ORYNTH-RA-001","Organizational integration boundary","INTEGRATION_BOUNDARY","STRUCTURAL","3","2","ADDRESSED;PARTIALLY_ADDRESSED","Adopting organization retains operational responsibility.","NONE"
"RA-EVD-010","ORYNTH-RA-001","Authority preservation","ORGANIZATIONAL_AUTHORITY_BOUNDARY","DIRECT_BOUNDARY","4","2","ADDRESSED;NOT_APPLICABLE;PARTIALLY_ADDRESSED","Does not supply legal authority.","NONE"
"RA-EVD-011","ORYNTH-RA-001","Governed architectural change","GOVERNED_EVOLUTION","DIRECT_ARCHITECTURAL","2","1","PARTIALLY_ADDRESSED","Does not govern legislative amendment.","NONE"
"RA-EVD-014","ORYNTH-RA-001","Domain responsibility boundary","DOMAIN_RESPONSIBILITY_BOUNDARY","DIRECT_BOUNDARY","5","2","ADDRESSED;PARTIALLY_ADDRESSED;RELATED","Cannot substitute for domain law.","NONE"
"RA-EVD-015","ORYNTH-RA-001","Reference-state maintenance","REFERENCE_STATE_MAINTENANCE","DIRECT_ARCHITECTURAL","2","1","PARTIALLY_ADDRESSED","Does not itself monitor legislation.","NONE"
"RA-EVD-016","ORYNTH-RA-001","Reference-state validation","REFERENCE_STATE_VALIDATION","DIRECT_ASSURANCE","2","1","PARTIALLY_ADDRESSED","Does not certify independent deployments.","NONE"
"RA-EVD-017","ORYNTH-RA-001","Multiple validation sources","MULTI_SOURCE_VALIDATION_EVIDENCE","DIRECT_EVIDENTIARY","2","1","PARTIALLY_ADDRESSED","Presence does not automatically establish admissibility.","NONE"
"RA-EVD-019","ORYNTH-RA-001","Independent implementation limitation","IMPLEMENTATION_VALIDATION_BOUNDARY","DIRECT_BOUNDARY","3","2","ADDRESSED;PARTIALLY_ADDRESSED","Independent deployments require separate validation.","NONE"
"RA-EVD-020","ORYNTH-RA-001","Governance and assurance layer","ASSURANCE_LAYER_BOUNDARY","STRUCTURAL","3","2","ADDRESSED;PARTIALLY_ADDRESSED","Does not replace policy, authority, or infrastructure.","NONE"
