"evidence_id","artifact_id","section","evidence_name","evidence_summary","mechanism","normalized_type_ids","evidence_strength","scope_limit"
"RA-EVD-001","ORYNTH-RA-001","1","Authorization and execution separation","Separates authorization from execution eligibility.","AUTHORIZATION_EXECUTION_SEPARATION","EXE-001;CLS-001","DIRECT_ARCHITECTURAL","Does not define domain-specific legal authorization."
"RA-EVD-002","ORYNTH-RA-001","2","Current-condition eligibility","Evaluates eligibility against conditions existing at execution time.","CURRENT_CONDITION_REEVALUATION","EXE-001;RSK-002","DIRECT_ARCHITECTURAL","Risk meaning remains domain-dependent."
"RA-EVD-003","ORYNTH-RA-001","3","Governed stage separation","Separates intent, evaluation, authorization, reconciliation, eligibility, and effectuation.","GOVERNED_STAGE_SEPARATION","ACT-002;AUTH-001;EXE-001;EXE-002","DIRECT_ARCHITECTURAL","Does not assign statutory actors."
"RA-EVD-004","ORYNTH-RA-001","3","Execution eligibility determination","Determines whether an authorized action remains eligible before effectuation.","EXECUTION_ELIGIBILITY_GATE","EXE-001;TST-003","DIRECT_ARCHITECTURAL","External policy supplies eligibility criteria."
"RA-EVD-005","ORYNTH-RA-001","4","Layered reference model","Defines foundational, enterprise, and ecosystem layers.","LAYERED_REFERENCE_MODEL","ACT-001;DOC-001;AUD-003","STRUCTURAL","Reference structure does not guarantee implementation conformance."
"RA-EVD-006","ORYNTH-RA-001","4","Intent capture","Records intended action before evaluation and authorization.","INTENT_RECORD","EVD-001;DOC-003","DIRECT_EVIDENTIARY","Intent evidence does not prove legality or correctness."
"RA-EVD-007","ORYNTH-RA-001","4","Condition reconciliation","Reconciles authorization against changed operating conditions.","CONDITION_RECONCILIATION","RSK-002;TST-003;EXE-001","DIRECT_ARCHITECTURAL","Requires external condition and policy inputs."
"RA-EVD-008","ORYNTH-RA-001","4","Execution denial","Prevents action when current eligibility conditions are unsatisfied.","EXECUTION_DENIAL","EXE-002;EXE-003","DIRECT_ARCHITECTURAL","Does not define every domain prohibition."
"RA-EVD-009","ORYNTH-RA-001","5","Organizational integration boundary","Operates around existing systems and organizational infrastructure.","INTEGRATION_BOUNDARY","ACT-001;SCP-001","STRUCTURAL","Adopting organization retains operational responsibility."
"RA-EVD-010","ORYNTH-RA-001","5","Authority preservation","Preserves organizational authority rather than replacing it.","ORGANIZATIONAL_AUTHORITY_BOUNDARY","AUTH-003;SCP-001","DIRECT_BOUNDARY","Does not supply legal authority."
"RA-EVD-011","ORYNTH-RA-001","6","Governed architectural change","Routes change through observation, review, amendment, verification, and maintenance.","GOVERNED_EVOLUTION","DOC-003;TST-003;AUD-003;EVD-003","DIRECT_ARCHITECTURAL","Does not govern legislative amendment."
"RA-EVD-012","ORYNTH-RA-001","6","Version binding","Binds architectural state and evidence to a defined version.","VERSIONED_REFERENCE_STATE","EVD-003;DOC-003;AUD-002","DIRECT_EVIDENTIARY","Does not establish future conformance."
"RA-EVD-013","ORYNTH-RA-001","6","Release continuity","Preserves release records, inventories, governance records, and change history.","RELEASE_CONTINUITY","EVD-002;EVD-003;DOC-003","DIRECT_EVIDENTIARY","Depends on maintained artifacts."
"RA-EVD-014","ORYNTH-RA-001","6","Domain responsibility boundary","Leaves deployment, policy, domain requirements, and implementation choices with the adopter.","DOMAIN_RESPONSIBILITY_BOUNDARY","AUTH-002;ACT-002;SCP-001","DIRECT_BOUNDARY","Cannot substitute for domain law."
"RA-EVD-015","ORYNTH-RA-001","6","Reference-state maintenance","Maintains recurring review, amendment, verification, and update.","REFERENCE_STATE_MAINTENANCE","TST-003;AUD-003;DOC-003","DIRECT_ARCHITECTURAL","Does not itself monitor legislation."
"RA-EVD-016","ORYNTH-RA-001","7","Reference-state validation","Validates completeness, integrity, continuity, traceability, and reproducibility.","REFERENCE_STATE_VALIDATION","TST-003;AUD-002;AUD-003;EVD-003","DIRECT_ASSURANCE","Does not certify independent deployments."
"RA-EVD-017","ORYNTH-RA-001","7","Multiple validation sources","Uses repository, release, governance, documentation, and implementation evidence.","MULTI_SOURCE_VALIDATION_EVIDENCE","EVD-001;EVD-003;EVD-004","DIRECT_EVIDENTIARY","Presence does not automatically establish admissibility."
"RA-EVD-018","ORYNTH-RA-001","7","Release-bound traceability","Connects evidence to version, repository state, governance records, and architecture.","VALIDATION_TRACEABILITY","EVD-002;EVD-003;AUD-002","DIRECT_EVIDENTIARY","Requires preservation of referenced artifacts."
"RA-EVD-019","ORYNTH-RA-001","7","Independent implementation limitation","Reference validation does not certify every independent implementation.","IMPLEMENTATION_VALIDATION_BOUNDARY","SCP-001;AUTH-002","DIRECT_BOUNDARY","Independent deployments require separate validation."
"RA-EVD-020","ORYNTH-RA-001","8","Governance and assurance layer","Defines ORYNTH as a governance and assurance layer around adaptive systems.","ASSURANCE_LAYER_BOUNDARY","AUD-003;SCP-001","STRUCTURAL","Does not replace policy, authority, or infrastructure."
