"domain_id","domain_name","taxonomy_type_count","mapped_source_requirement_count","mapping_record_count","source_records","current_corpus_coverage"
"DOM-001","AUTHORITY","3","4","4","FED-EO-14409","REPRESENTED"
"DOM-002","ACTOR_ACCOUNTABILITY","2","2","2","FED-EO-14409","REPRESENTED"
"DOM-003","EVIDENCE","5","4","4","FED-EO-14409","REPRESENTED"
"DOM-004","DOCUMENTATION","3","0","0","","NOT_YET_REPRESENTED"
"DOM-005","RISK_GOVERNANCE","4","0","0","","NOT_YET_REPRESENTED"
"DOM-006","SYSTEM_CLASSIFICATION","2","3","3","FED-EO-14409","REPRESENTED"
"DOM-007","TESTING_AND_EVALUATION","3","3","3","FED-EO-14409","REPRESENTED"
"DOM-008","EXECUTION_CONTROL","3","1","1","MN-HF-1606","REPRESENTED"
"DOM-009","PROHIBITED_CONDUCT","3","3","3","MN-HF-1606","REPRESENTED"
"DOM-010","TRANSPARENCY","3","0","0","","NOT_YET_REPRESENTED"
"DOM-011","HUMAN_RIGHTS_AND_REMEDY","3","4","4","MN-HF-1606","REPRESENTED"
"DOM-012","SECURITY","5","12","14","FED-EO-14409","REPRESENTED"
"DOM-013","INCIDENT_RESPONSE","3","1","1","FED-EO-14409","REPRESENTED"
"DOM-014","AUDIT_AND_ASSURANCE","3","0","0","","NOT_YET_REPRESENTED"
"DOM-015","ENFORCEMENT_AND_LIABILITY","5","5","5","FED-EO-14409;MN-HF-1606","REPRESENTED"
"DOM-016","GOVERNMENT_IMPLEMENTATION","3","7","7","FED-EO-14409;MN-HF-1606","REPRESENTED"
"DOM-017","VOLUNTARY_COORDINATION","4","6","6","FED-EO-14409","REPRESENTED"
"DOM-018","SCOPE_AND_EXCEPTIONS","4","5","6","FED-EO-14409;MN-HF-1606","REPRESENTED"
