"requirement_id","source_id","central_duty","architectural_applicability","normalized_type_ids","evidence_ids","evidence_scope_limits","provisional_verdict","adversarial_recommended_verdict","attacks_failed","failed_attack_classes","recommendation_rationale","human_final_verdict","human_decision","human_rationale","reviewer_name","review_date","review_complete","legal_compliance_determination","external_legal_authority_preserved"
"EO14409-REQ-001","FED-EO-14409","Prioritize cyber defense of National Security Systems","ARCHITECTURAL","ACT-002;SEC-001","RA-EVD-003;RA-EVD-014","Cannot substitute for domain law.;Does not assign statutory actors.","PARTIALLY_ADDRESSED","PARTIALLY_ADDRESSED","0","","The provisional verdict survived all eight attacks.","","","","","","FALSE","NOT_ASSESSED","TRUE"
"EO14409-REQ-002","FED-EO-14409","Prioritize cyber defense of Department of War information systems","ARCHITECTURAL","ACT-002;SEC-001","RA-EVD-003;RA-EVD-014","Cannot substitute for domain law.;Does not assign statutory actors.","PARTIALLY_ADDRESSED","PARTIALLY_ADDRESSED","0","","The provisional verdict survived all eight attacks.","","","","","","FALSE","NOT_ASSESSED","TRUE"
"EO14409-REQ-003","FED-EO-14409","Expedite and prioritize cyber defense of civilian Federal Government information systems","ARCHITECTURAL","GOV-001;SEC-001","","","GAP","GAP","0","","The provisional verdict survived all eight attacks.","","","","","","FALSE","NOT_ASSESSED","TRUE"
"EO14409-REQ-004","FED-EO-14409","Establish or expand Federal programs and cybersecurity services using AI-enabled defensive tools","ARCHITECTURAL","GOV-001;SEC-001","","","GAP","GAP","0","","The provisional verdict survived all eight attacks.","","","","","","FALSE","NOT_ASSESSED","TRUE"
"EO14409-REQ-005","FED-EO-14409","Facilitate access to cybersecurity tools, services, and where appropriate covered frontier models","ARCHITECTURAL","EVD-004;SEC-002","AAS-EVD-004;AAS-EVD-017;RA-EVD-017","Architectural independence is not complete institutional independence.;Not a complete procedural ethics standard.;Presence does not automatically establish admissibility.","ADDRESSED","PARTIALLY_ADDRESSED","1","EVIDENCE_SCOPE","One or more adversarial controls failed; consolidation must resolve or preserve the recommendation.","","","","","","FALSE","NOT_ASSESSED","TRUE"
"EO14409-REQ-006","FED-EO-14409","Form an AI cybersecurity clearinghouse","ARCHITECTURAL","GOV-001;VOL-004","","","GAP","GAP","0","","The provisional verdict survived all eight attacks.","","","","","","FALSE","NOT_ASSESSED","TRUE"
"EO14409-REQ-007","FED-EO-14409","Collaborate with the AI cybersecurity clearinghouse","ARCHITECTURAL","VOL-004","","","GAP","GAP","0","","The provisional verdict survived all eight attacks.","","","","","","FALSE","NOT_ASSESSED","TRUE"
"EO14409-REQ-008","FED-EO-14409","Coordinate and deconflict software-vulnerability scanning","UNCERTAIN","SEC-005;TST-003","AAS-EVD-009;RA-EVD-004;RA-EVD-007;RA-EVD-011;RA-EVD-015;RA-EVD-016","Applies to audit evidence, not operational action.;Does not certify independent deployments.;Does not govern legislative amendment.;Does not itself monitor legislation.;External policy supplies eligibility criteria.;Requires external condition and policy inputs.","UNRESOLVED","UNRESOLVED","1","APPLICABILITY","One or more adversarial controls failed; consolidation must resolve or preserve the recommendation.","","","","","","FALSE","NOT_ASSESSED","TRUE"
"EO14409-REQ-009","FED-EO-14409","Discover and validate software vulnerabilities","ARCHITECTURAL","SEC-005;TST-003","AAS-EVD-009;RA-EVD-004;RA-EVD-007;RA-EVD-011;RA-EVD-015;RA-EVD-016","Applies to audit evidence, not operational action.;Does not certify independent deployments.;Does not govern legislative amendment.;Does not itself monitor legislation.;External policy supplies eligibility criteria.;Requires external condition and policy inputs.","PARTIALLY_ADDRESSED","PARTIALLY_ADDRESSED","0","","The provisional verdict survived all eight attacks.","","","","","","FALSE","NOT_ASSESSED","TRUE"
"EO14409-REQ-010","FED-EO-14409","Coordinate and prioritize remediation and distribution of vulnerability patches","UNCERTAIN","INC-003;SEC-005","","","UNRESOLVED","UNRESOLVED","1","APPLICABILITY","One or more adversarial controls failed; consolidation must resolve or preserve the recommendation.","","","","","","FALSE","NOT_ASSESSED","TRUE"
