"adjudication_id","requirement_id","source_id","source_name","source_text","central_duty","supporting_duties","architectural_applicability","applicability_rationale","normalized_type_ids","evidence_ids","evidence_mechanisms","evidence_scope_limits","functional_performance","functional_performance_rationale","material_residuals","proposed_verdict","final_verdict","confidence","neighbor_verdict_counterfactual","human_review_status","challenge_status","challenge_rationale","legal_compliance_determination","external_legal_authority_preserved","no_quota_assertion","row_sealed","method_version"
"IADJ-001","EO14409-REQ-001","FED-EO-14409","Executive Order 14409","Prioritize cyber defense of National Security Systems","Prioritize cyber defense of National Security Systems","actor=Committee on National Security Systems;actor_class=FEDERAL_BODY;private_company_effect=NONE_DIRECT;collaboration_status=NOT_APPLICABLE","ARCHITECTURAL","Deterministic applicability state: ARCHITECTURAL.","ACT-002;SEC-001","RA-EVD-003;RA-EVD-014","DOMAIN_RESPONSIBILITY_BOUNDARY;GOVERNED_STAGE_SEPARATION","Cannot substitute for domain law.;Does not assign statutory actors.","PARTIAL","Deterministic functional-performance state: PARTIAL.","MATERIAL_ARCHITECTURAL_OR_IMPLEMENTATION_COMPONENT_REMAINS","PARTIALLY_ADDRESSED","PARTIALLY_ADDRESSED","MEDIUM","Not ADDRESSED because direct coverage is incomplete or a material residual remains. Not RELATED because public evidence performs at least one material part of the central duty.","PENDING_ADVERSARIAL_REVIEW","REQUIRED","Every provisional row requires complete adversarial review.","NOT_ASSESSED","TRUE","TRUE","TRUE","05A-R3C-V5"
"IADJ-002","EO14409-REQ-002","FED-EO-14409","Executive Order 14409","Prioritize cyber defense of Department of War information systems","Prioritize cyber defense of Department of War information systems","actor=Secretary of War;actor_class=FEDERAL_OFFICIAL;private_company_effect=NONE_DIRECT;collaboration_status=NOT_APPLICABLE","ARCHITECTURAL","Deterministic applicability state: ARCHITECTURAL.","ACT-002;SEC-001","RA-EVD-003;RA-EVD-014","DOMAIN_RESPONSIBILITY_BOUNDARY;GOVERNED_STAGE_SEPARATION","Cannot substitute for domain law.;Does not assign statutory actors.","PARTIAL","Deterministic functional-performance state: PARTIAL.","MATERIAL_ARCHITECTURAL_OR_IMPLEMENTATION_COMPONENT_REMAINS","PARTIALLY_ADDRESSED","PARTIALLY_ADDRESSED","MEDIUM","Not ADDRESSED because direct coverage is incomplete or a material residual remains. Not RELATED because public evidence performs at least one material part of the central duty.","PENDING_ADVERSARIAL_REVIEW","REQUIRED","Every provisional row requires complete adversarial review.","NOT_ASSESSED","TRUE","TRUE","TRUE","05A-R3C-V5"
"IADJ-003","EO14409-REQ-003","FED-EO-14409","Executive Order 14409","Expedite and prioritize cyber defense of civilian Federal Government information systems","Expedite and prioritize cyber defense of civilian Federal Government information systems","actor=Secretary of Homeland Security through CISA;actor_class=FEDERAL_OFFICIAL;private_company_effect=NONE_DIRECT;collaboration_status=NOT_APPLICABLE","ARCHITECTURAL","Deterministic applicability state: ARCHITECTURAL.","GOV-001;SEC-001","","","","NONE","Deterministic functional-performance state: NONE.","MATERIAL_ARCHITECTURAL_MECHANISM_ABSENT","GAP","GAP","HIGH","Not NOT_APPLICABLE because the central duty is architectural. Not UNRESOLVED because reviewed mappings permit a stable finding that no performing public mechanism exists.","PENDING_ADVERSARIAL_REVIEW","REQUIRED","Every provisional row requires complete adversarial review.","NOT_ASSESSED","TRUE","TRUE","TRUE","05A-R3C-V5"
"IADJ-004","EO14409-REQ-004","FED-EO-14409","Executive Order 14409","Establish or expand Federal programs and cybersecurity services using AI-enabled defensive tools","Establish or expand Federal programs and cybersecurity services using AI-enabled defensive tools","actor=Secretary of Homeland Security through CISA;actor_class=FEDERAL_OFFICIAL;private_company_effect=POTENTIAL_INDIRECT;collaboration_status=NOT_SPECIFIED","ARCHITECTURAL","Deterministic applicability state: ARCHITECTURAL.","GOV-001;SEC-001","","","","NONE","Deterministic functional-performance state: NONE.","MATERIAL_ARCHITECTURAL_MECHANISM_ABSENT","GAP","GAP","HIGH","Not NOT_APPLICABLE because the central duty is architectural. Not UNRESOLVED because reviewed mappings permit a stable finding that no performing public mechanism exists.","PENDING_ADVERSARIAL_REVIEW","REQUIRED","Every provisional row requires complete adversarial review.","NOT_ASSESSED","TRUE","TRUE","TRUE","05A-R3C-V5"
"IADJ-005","EO14409-REQ-005","FED-EO-14409","Executive Order 14409","Facilitate access to cybersecurity tools, services, and where appropriate covered frontier models","Facilitate access to cybersecurity tools, services, and where appropriate covered frontier models","actor=Secretary of Homeland Security through CISA;actor_class=FEDERAL_OFFICIAL;private_company_effect=POTENTIAL_INDIRECT;collaboration_status=NOT_SPECIFIED","ARCHITECTURAL","Deterministic applicability state: ARCHITECTURAL.","EVD-004;SEC-002","AAS-EVD-004;AAS-EVD-017;RA-EVD-017","AUDIT_NONINTERFERENCE;MULTI_SOURCE_VALIDATION_EVIDENCE;ONE_WAY_INDEPENDENCE_BOUNDARY","Architectural independence is not complete institutional independence.;Not a complete procedural ethics standard.;Presence does not automatically establish admissibility.","DIRECT","Deterministic functional-performance state: DIRECT.","NO_MATERIAL_ARCHITECTURAL_RESIDUAL;EXTERNAL_AUTHORITY_POLICY_AND_DEPLOYMENT_REMAIN","ADDRESSED","ADDRESSED","HIGH","Not PARTIALLY_ADDRESSED because every reviewed direct duty type possesses direct public evidence and no material architectural residual was identified. Not RELATED because the mechanism performs the central duty.","PENDING_ADVERSARIAL_REVIEW","REQUIRED","Every provisional row requires complete adversarial review.","NOT_ASSESSED","TRUE","TRUE","TRUE","05A-R3C-V5"
"IADJ-006","EO14409-REQ-006","FED-EO-14409","Executive Order 14409","Form an AI cybersecurity clearinghouse","Form an AI cybersecurity clearinghouse","actor=Secretary of the Treasury;actor_class=FEDERAL_OFFICIAL;private_company_effect=VOLUNTARY_COLLABORATION;collaboration_status=VOLUNTARY","ARCHITECTURAL","Deterministic applicability state: ARCHITECTURAL.","GOV-001;VOL-004","","","","NONE","Deterministic functional-performance state: NONE.","MATERIAL_ARCHITECTURAL_MECHANISM_ABSENT","GAP","GAP","HIGH","Not NOT_APPLICABLE because the central duty is architectural. Not UNRESOLVED because reviewed mappings permit a stable finding that no performing public mechanism exists.","PENDING_ADVERSARIAL_REVIEW","REQUIRED","Every provisional row requires complete adversarial review.","NOT_ASSESSED","TRUE","TRUE","TRUE","05A-R3C-V5"
"IADJ-007","EO14409-REQ-007","FED-EO-14409","Executive Order 14409","Collaborate with the AI cybersecurity clearinghouse","Collaborate with the AI cybersecurity clearinghouse","actor=AI industry and critical-infrastructure operators;actor_class=PRIVATE_ACTOR;private_company_effect=VOLUNTARY;collaboration_status=VOLUNTARY","ARCHITECTURAL","Deterministic applicability state: ARCHITECTURAL.","VOL-004","","","","NONE","Deterministic functional-performance state: NONE.","MATERIAL_ARCHITECTURAL_MECHANISM_ABSENT","GAP","GAP","HIGH","Not NOT_APPLICABLE because the central duty is architectural. Not UNRESOLVED because reviewed mappings permit a stable finding that no performing public mechanism exists.","PENDING_ADVERSARIAL_REVIEW","REQUIRED","Every provisional row requires complete adversarial review.","NOT_ASSESSED","TRUE","TRUE","TRUE","05A-R3C-V5"
"IADJ-008","EO14409-REQ-008","FED-EO-14409","Executive Order 14409","Coordinate and deconflict software-vulnerability scanning","Coordinate and deconflict software-vulnerability scanning","actor=AI cybersecurity clearinghouse;actor_class=FEDERAL_COORDINATION_BODY;private_company_effect=POTENTIAL_INDIRECT;collaboration_status=VOLUNTARY_PRIVATE_PARTICIPATION","UNCERTAIN","Deterministic applicability state: UNCERTAIN.","SEC-005;TST-003","AAS-EVD-009;RA-EVD-004;RA-EVD-007;RA-EVD-011;RA-EVD-015;RA-EVD-016","CONDITION_RECONCILIATION;EVIDENCE_ADMISSIBILITY_GATE;EXECUTION_ELIGIBILITY_GATE;GOVERNED_EVOLUTION;REFERENCE_STATE_MAINTENANCE;REFERENCE_STATE_VALIDATION","Applies to audit evidence, not operational action.;Does not certify independent deployments.;Does not govern legislative amendment.;Does not itself monitor legislation.;External policy supplies eligibility criteria.;Requires external condition and policy inputs.","ADJACENT","Deterministic functional-performance state: ADJACENT.","APPLICABILITY_REQUIRES_REVIEW","UNRESOLVED","UNRESOLVED","LOW","No neighboring substantive verdict can be selected reliably until applicability, mapping, or evidence uncertainty is resolved.","PENDING_ADVERSARIAL_REVIEW","REQUIRED","Every provisional row requires complete adversarial review.","NOT_ASSESSED","TRUE","TRUE","TRUE","05A-R3C-V5"
"IADJ-009","EO14409-REQ-009","FED-EO-14409","Executive Order 14409","Discover and validate software vulnerabilities","Discover and validate software vulnerabilities","actor=AI cybersecurity clearinghouse;actor_class=FEDERAL_COORDINATION_BODY;private_company_effect=POTENTIAL_INDIRECT;collaboration_status=VOLUNTARY_PRIVATE_PARTICIPATION","ARCHITECTURAL","Deterministic applicability state: ARCHITECTURAL.","SEC-005;TST-003","AAS-EVD-009;RA-EVD-004;RA-EVD-007;RA-EVD-011;RA-EVD-015;RA-EVD-016","CONDITION_RECONCILIATION;EVIDENCE_ADMISSIBILITY_GATE;EXECUTION_ELIGIBILITY_GATE;GOVERNED_EVOLUTION;REFERENCE_STATE_MAINTENANCE;REFERENCE_STATE_VALIDATION","Applies to audit evidence, not operational action.;Does not certify independent deployments.;Does not govern legislative amendment.;Does not itself monitor legislation.;External policy supplies eligibility criteria.;Requires external condition and policy inputs.","PARTIAL","Deterministic functional-performance state: PARTIAL.","MATERIAL_ARCHITECTURAL_OR_IMPLEMENTATION_COMPONENT_REMAINS","PARTIALLY_ADDRESSED","PARTIALLY_ADDRESSED","MEDIUM","Not ADDRESSED because direct coverage is incomplete or a material residual remains. Not RELATED because public evidence performs at least one material part of the central duty.","PENDING_ADVERSARIAL_REVIEW","REQUIRED","Every provisional row requires complete adversarial review.","NOT_ASSESSED","TRUE","TRUE","TRUE","05A-R3C-V5"
"IADJ-010","EO14409-REQ-010","FED-EO-14409","Executive Order 14409","Coordinate and prioritize remediation and distribution of vulnerability patches","Coordinate and prioritize remediation and distribution of vulnerability patches","actor=AI cybersecurity clearinghouse;actor_class=FEDERAL_COORDINATION_BODY;private_company_effect=POTENTIAL_INDIRECT;collaboration_status=VOLUNTARY_PRIVATE_PARTICIPATION","UNCERTAIN","Deterministic applicability state: UNCERTAIN.","INC-003;SEC-005","","","","NONE","Deterministic functional-performance state: NONE.","APPLICABILITY_REQUIRES_REVIEW","UNRESOLVED","UNRESOLVED","LOW","No neighboring substantive verdict can be selected reliably until applicability, mapping, or evidence uncertainty is resolved.","PENDING_ADVERSARIAL_REVIEW","REQUIRED","Every provisional row requires complete adversarial review.","NOT_ASSESSED","TRUE","TRUE","TRUE","05A-R3C-V5"
"IADJ-011","EO14409-REQ-011","FED-EO-14409","Executive Order 14409","Determine whether relevant Federal grant funding is available for advanced AI vulnerability detection","Determine whether relevant Federal grant funding is available for advanced AI vulnerability detection","actor=Director of OMB;actor_class=FEDERAL_OFFICIAL;private_company_effect=POTENTIAL_FUNDING_OPPORTUNITY;collaboration_status=NOT_APPLICABLE","ARCHITECTURAL","Deterministic applicability state: ARCHITECTURAL.","GOV-003","","","","NONE","Deterministic functional-performance state: NONE.","MATERIAL_ARCHITECTURAL_MECHANISM_ABSENT","GAP","GAP","HIGH","Not NOT_APPLICABLE because the central duty is architectural. Not UNRESOLVED because reviewed mappings permit a stable finding that no performing public mechanism exists.","PENDING_ADVERSARIAL_REVIEW","REQUIRED","Every provisional row requires complete adversarial review.","NOT_ASSESSED","TRUE","TRUE","TRUE","05A-R3C-V5"
