"domain","requirement_count","addressed","partially_addressed","related","not_applicable","gap","unresolved","direct_architectural_support","architecturally_relevant","relevance_percentage","total_public_evidence_links"
"ACTOR_ACCOUNTABILITY","2","0","0","2","0","0","0","0","2","100","4"
"AUTHORITY","4","2","1","0","1","0","0","3","3","75","28"
"ENFORCEMENT_AND_LIABILITY","5","0","0","0","5","0","0","0","0","0","0"
"EVIDENCE","4","0","2","2","0","0","0","2","4","100","6"
"EXECUTION_CONTROL","1","0","1","0","0","0","0","1","1","100","2"
"GOVERNMENT_IMPLEMENTATION","7","0","0","3","4","0","0","0","3","42.86","0"
"HUMAN_RIGHTS_AND_REMEDY","4","0","1","0","3","0","0","1","1","25","2"
"INCIDENT_RESPONSE","1","0","0","1","0","0","0","0","1","100","0"
"PROHIBITED_CONDUCT","3","0","1","0","1","1","0","1","1","33.33","2"
"SCOPE_AND_EXCEPTIONS","5","2","1","1","1","0","0","3","4","80","31"
"SECURITY","12","0","4","7","1","0","0","4","11","91.67","24"
"SYSTEM_CLASSIFICATION","3","0","2","1","0","0","0","2","3","100","8"
"TESTING_AND_EVALUATION","3","0","2","1","0","0","0","2","3","100","12"
"VOLUNTARY_COORDINATION","6","0","2","3","1","0","0","2","5","83.33","8"
